r,l,t,f,y,UseByTechnology
RE1,S11,PWRSOL,SOL,2032,10.819
RE1,S11,PWRSOL,SOL,2033,11.1436
RE1,S11,PWRSOL,SOL,2034,11.4779
RE1,S11,PWRSOL,SOL,2035,11.8222
RE1,S11,PWRSOL,SOL,2036,12.1769
RE1,S11,PWRSOL,SOL,2037,12.5422
RE1,S11,PWRSOL,SOL,2038,12.9185
RE1,S11,PWRSOL,SOL,2039,13.306
RE1,S11,PWRSOL,SOL,2040,13.7052
RE1,S11,PWRTRN,ELC001,2020,26.8529
RE1,S11,PWRTRN,ELC001,2021,27.6585
RE1,S11,PWRTRN,ELC001,2022,28.4883
RE1,S11,PWRTRN,ELC001,2023,29.3429
RE1,S11,PWRTRN,ELC001,2024,30.2232
RE1,S11,PWRTRN,ELC001,2025,31.1299
RE1,S11,PWRTRN,ELC001,2026,32.0638
RE1,S11,PWRTRN,ELC001,2027,33.0257
RE1,S11,PWRTRN,ELC001,2028,34.0165
RE1,S11,PWRTRN,ELC001,2029,35.037
RE1,S11,PWRTRN,ELC001,2030,36.0881
RE1,S11,PWRTRN,ELC001,2031,37.1708
RE1,S11,PWRTRN,ELC001,2032,38.2859
RE1,S11,PWRTRN,ELC001,2033,39.4344
RE1,S11,PWRTRN,ELC001,2034,40.6175
RE1,S11,PWRTRN,ELC001,2035,41.836
RE1,S11,PWRTRN,ELC001,2036,43.0911
RE1,S11,PWRTRN,ELC001,2037,44.3838
RE1,S11,PWRTRN,ELC001,2038,45.7153
RE1,S11,PWRTRN,ELC001,2039,47.0868
RE1,S11,PWRTRN,ELC001,2040,48.4994
RE1,S11,PWRWND,WND,2020,0.0
RE1,S11,PWRWND,WND,2021,0.0
RE1,S11,PWRWND,WND,2022,0.0
RE1,S11,PWRWND,WND,2023,0.0
RE1,S11,PWRWND,WND,2024,0.0
RE1,S11,PWRWND,WND,2025,0.0
RE1,S11,PWRWND,WND,2026,0.0
RE1,S11,PWRWND,WND,2027,0.0
RE1,S11,PWRWND,WND,2028,0.0
RE1,S11,PWRWND,WND,2029,0.0
RE1,S11,PWRWND,WND,2030,0.0
RE1,S11,PWRWND,WND,2031,0.0
RE1,S11,PWRWND,WND,2032,0.0
RE1,S11,PWRWND,WND,2033,0.0
RE1,S11,PWRWND,WND,2034,0.0
RE1,S11,PWRWND,WND,2035,0.0
RE1,S11,PWRWND,WND,2036,0.0
RE1,S11,PWRWND,WND,2037,0.0
RE1,S11,PWRWND,WND,2038,0.0
RE1,S11,PWRWND,WND,2039,0.0
RE1,S11,PWRWND,WND,2040,0.0
RE1,S12,PWRCOA,COA,2020,0.0
RE1,S12,PWRCOA,COA,2021,0.0
RE1,S12,PWRCOA,COA,2022,0.0
RE1,S12,PWRCOA,COA,2023,0.0
RE1,S12,PWRCOA,COA,2024,0.0
RE1,S12,PWRCOA,COA,2025,0.0
RE1,S12,PWRCOA,COA,2026,0.0
RE1,S12,PWRCOA,COA,2027,0.0
RE1,S12,PWRCOA,COA,2028,0.0
RE1,S12,PWRCOA,COA,2029,0.0
RE1,S12,PWRCOA,COA,2030,0.0
RE1,S12,PWRCOA,COA,2031,0.0
RE1,S12,PWRCOA,COA,2032,0.0
RE1,S12,PWRCOA,COA,2033,0.0
RE1,S12,PWRCOA,COA,2034,0.0
RE1,S12,PWRCOA,COA,2035,0.0
RE1,S12,PWRCOA,COA,2036,0.0
RE1,S12,PWRCOA,COA,2037,0.0
RE1,S12,PWRCOA,COA,2038,0.0
RE1,S12,PWRCOA,COA,2039,0.0
RE1,S12,PWRCOA,COA,2040,0.0
RE1,S12,PWRGAS,GAS,2020,0.0
RE1,S12,PWRGAS,GAS,2021,0.0
RE1,S12,PWRGAS,GAS,2022,0.0
RE1,S12,PWRGAS,GAS,2023,0.0
RE1,S12,PWRGAS,GAS,2024,0.0
RE1,S12,PWRGAS,GAS,2025,0.0
RE1,S12,PWRGAS,GAS,2026,0.0
RE1,S12,PWRGAS,GAS,2027,0.0
RE1,S12,PWRGAS,GAS,2028,0.0
RE1,S12,PWRGAS,GAS,2029,0.0
RE1,S12,PWRGAS,GAS,2030,0.0
RE1,S12,PWRGAS,GAS,2031,0.0
RE1,S12,PWRGAS,GAS,2032,0.0
RE1,S12,PWRGAS,GAS,2033,0.0
RE1,S12,PWRGAS,GAS,2034,0.0
RE1,S12,PWRGAS,GAS,2035,0.0
RE1,S12,PWRGAS,GAS,2036,0.0
RE1,S12,PWRGAS,GAS,2037,0.0
RE1,S12,PWRGAS,GAS,2038,0.0
RE1,S12,PWRGAS,GAS,2039,0.0
RE1,S12,PWRGAS,GAS,2040,0.0
RE1,S12,PWRHYD,HYD,2020,8.8
RE1,S12,PWRHYD,HYD,2021,9.064
RE1,S12,PWRHYD,HYD,2022,9.3359
RE1,S12,PWRHYD,HYD,2023,9.616
RE1,S12,PWRHYD,HYD,2024,9.9045
RE1,S12,PWRHYD,HYD,2025,10.2016
RE1,S12,PWRHYD,HYD,2026,10.5077
RE1,S12,PWRHYD,HYD,2027,10.8229
RE1,S12,PWRHYD,HYD,2028,11.1476
RE1,S12,PWRHYD,HYD,2029,11.482
RE1,S12,PWRHYD,HYD,2030,11.8265
RE1,S12,PWRHYD,HYD,2031,12.1813
RE1,S12,PWRHYD,HYD,2032,12.5467
RE1,S12,PWRHYD,HYD,2033,12.9231
RE1,S12,PWRHYD,HYD,2034,13.3108
RE1,S12,PWRHYD,HYD,2035,13.7101
RE1,S12,PWRHYD,HYD,2036,14.1214
RE1,S12,PWRHYD,HYD,2037,14.5451
RE1,S12,PWRHYD,HYD,2038,14.9814
RE1,S12,PWRHYD,HYD,2039,15.4309
RE1,S12,PWRHYD,HYD,2040,15.8938
RE1,S12,PWRSOL,SOL,2020,0.0
RE1,S12,PWRSOL,SOL,2021,0.0
RE1,S12,PWRSOL,SOL,2022,0.0
RE1,S12,PWRSOL,SOL,2023,0.0
RE1,S12,PWRSOL,SOL,2024,0.0
RE1,S12,PWRSOL,SOL,2025,0.0
RE1,S12,PWRSOL,SOL,2026,0.0
RE1,S12,PWRSOL,SOL,2027,0.0
RE1,S12,PWRSOL,SOL,2028,0.0
RE1,S12,PWRSOL,SOL,2029,0.0
RE1,S12,PWRSOL,SOL,2030,0.0
RE1,S12,PWRSOL,SOL,2031,0.0
RE1,S12,PWRSOL,SOL,2032,0.0
RE1,S12,PWRSOL,SOL,2033,0.0
RE1,S12,PWRSOL,SOL,2034,0.0
RE1,S12,PWRSOL,SOL,2035,0.0
RE1,S12,PWRSOL,SOL,2036,0.0
RE1,S12,PWRSOL,SOL,2037,0.0
RE1,S12,PWRSOL,SOL,2038,0.0
RE1,S12,PWRSOL,SOL,2039,0.0
RE1,S12,PWRSOL,SOL,2040,0.0
RE1,S12,PWRTRN,ELC001,2020,8.8
RE1,S12,PWRTRN,ELC001,2021,9.064
RE1,S12,PWRTRN,ELC001,2022,9.3359
RE1,S12,PWRTRN,ELC001,2023,9.616
RE1,S12,PWRTRN,ELC001,2024,9.9045
RE1,S12,PWRTRN,ELC001,2025,10.2016
RE1,S12,PWRTRN,ELC001,2026,10.5077
RE1,S12,PWRTRN,ELC001,2027,10.8229
RE1,S12,PWRTRN,ELC001,2028,11.1476
RE1,S12,PWRTRN,ELC001,2029,11.482
RE1,S12,PWRTRN,ELC001,2030,11.8265
RE1,S12,PWRTRN,ELC001,2031,12.1813
RE1,S12,PWRTRN,ELC001,2032,12.5467
RE1,S12,PWRTRN,ELC001,2033,12.9231
RE1,S12,PWRTRN,ELC001,2034,13.3108
RE1,S12,PWRTRN,ELC001,2035,13.7101
RE1,S12,PWRTRN,ELC001,2036,14.1214
RE1,S12,PWRTRN,ELC001,2037,14.5451
RE1,S12,PWRTRN,ELC001,2038,14.9814
RE1,S12,PWRTRN,ELC001,2039,15.4309
RE1,S12,PWRTRN,ELC001,2040,15.8938
RE1,S12,PWRWND,WND,2020,0.0
RE1,S12,PWRWND,WND,2021,0.0
RE1,S12,PWRWND,WND,2022,0.0
RE1,S12,PWRWND,WND,2023,0.0
RE1,S12,PWRWND,WND,2024,0.0
RE1,S12,PWRWND,WND,2025,0.0
RE1,S12,PWRWND,WND,2026,0.0
RE1,S12,PWRWND,WND,2027,0.0
RE1,S12,PWRWND,WND,2028,0.0
RE1,S12,PWRWND,WND,2029,0.0
RE1,S12,PWRWND,WND,2030,0.0
