r,t,y,SalvageValue
RE1,LNDBLT,2031,217.8
RE1,LNDBLT,2032,464.64
RE1,LNDBLT,2033,493.68
RE1,LNDBLT,2034,261.36
RE1,LNDBLT,2035,551.76
RE1,DEMAGRSURWAT,2023,2.504
RE1,DEMAGRSURWAT,2024,7.1943
RE1,DEMAGRSURWAT,2025,8.312
RE1,DEMAGRSURWAT,2026,9.0065
RE1,DEMAGRSURWAT,2027,9.9309
RE1,DEMAGRSURWAT,2028,11.1314
RE1,DEMAGRSURWAT,2029,12.0875
RE1,DEMAGRSURWAT,2030,13.036
RE1,DEMAGRSURWAT,2031,2.544
RE1,DEMAGRSURWAT,2032,2.7354
RE1,DEMAGRSURWAT,2033,2.9295
RE1,DEMAGRSURWAT,2034,3.1018
RE1,DEMAGRSURWAT,2035,3.3411
RE1,DEMPWRSURWAT,2021,0.0931
RE1,DEMPWRSURWAT,2022,0.6418
RE1,DEMPWRSURWAT,2023,0.8102
RE1,DEMPWRSURWAT,2024,0.9835
RE1,DEMPWRSURWAT,2025,1.1943
RE1,DEMPWRSURWAT,2026,1.8163
RE1,DEMPWRSURWAT,2027,1.1321
RE1,DEMPWRSURWAT,2028,1.7478
RE1,DEMPWRSURWAT,2029,2.0789
RE1,DEMPWRSURWAT,2030,1.4634
RE1,DEMPWRSURWAT,2031,2.6018
RE1,DEMPWRSURWAT,2032,3.0046
RE1,DEMPWRSURWAT,2033,3.3098
RE1,DEMPWRSURWAT,2034,3.7633
RE1,DEMPWRSURWAT,2035,4.1091
RE1,DEMPUBSURWAT,2021,10.1704
RE1,DEMPUBSURWAT,2022,14.5708
RE1,DEMPUBSURWAT,2023,17.4588
RE1,DEMPUBSURWAT,2024,20.7405
RE1,DEMPUBSURWAT,2025,24.5145
RE1,DEMPUBSURWAT,2026,28.2228
RE1,DEMPUBSURWAT,2027,32.1281
RE1,DEMPUBSURWAT,2028,37.0178
RE1,DEMPUBSURWAT,2029,41.3825
RE1,DEMPUBSURWAT,2030,46.863
RE1,DEMPUBSURWAT,2031,52.1794
RE1,DEMPUBSURWAT,2032,57.7583
RE1,DEMPUBSURWAT,2033,64.1577
RE1,DEMPUBSURWAT,2034,70.8852
RE1,DEMPUBSURWAT,2035,78.5644
