r,l,t,m,f,y,RateOfUseByTechnologyByMode
RE1,S12,PWRHYD,1,HYD,2020,0.0
RE1,S12,PWRHYD,1,HYD,2021,0.0
RE1,S12,PWRHYD,1,HYD,2022,0.0
RE1,S12,PWRHYD,1,HYD,2023,0.0
RE1,S12,PWRHYD,1,HYD,2024,0.0
RE1,S12,PWRHYD,1,HYD,2025,0.0
RE1,S12,PWRHYD,1,HYD,2026,0.0
RE1,S12,PWRHYD,1,HYD,2027,0.0
RE1,S12,PWRHYD,1,HYD,2028,0.0
RE1,S12,PWRHYD,1,HYD,2029,0.0
RE1,S12,PWRHYD,1,HYD,2030,0.0
RE1,S12,PWRHYD,1,HYD,2031,0.0
RE1,S12,PWRHYD,1,HYD,2032,0.0
RE1,S12,PWRHYD,1,HYD,2033,0.0
RE1,S12,PWRHYD,1,HYD,2034,0.0
RE1,S12,PWRHYD,1,HYD,2035,0.0
RE1,S12,PWRHYD,1,HYD,2036,0.0
RE1,S12,PWRHYD,1,HYD,2037,0.0
RE1,S12,PWRHYD,1,HYD,2038,0.0
RE1,S12,PWRHYD,1,HYD,2039,0.0
RE1,S12,PWRHYD,1,HYD,2040,0.0
RE1,S12,PWRSOL,1,SOL,2020,0.0
RE1,S12,PWRSOL,1,SOL,2021,0.0
RE1,S12,PWRSOL,1,SOL,2022,0.0
RE1,S12,PWRSOL,1,SOL,2023,0.0
RE1,S12,PWRSOL,1,SOL,2024,0.0
RE1,S12,PWRSOL,1,SOL,2025,0.0
RE1,S12,PWRSOL,1,SOL,2026,0.0
RE1,S12,PWRSOL,1,SOL,2027,0.0
RE1,S12,PWRSOL,1,SOL,2028,0.0
RE1,S12,PWRSOL,1,SOL,2029,0.0
RE1,S12,PWRSOL,1,SOL,2030,0.0
RE1,S12,PWRSOL,1,SOL,2031,0.0
RE1,S12,PWRSOL,1,SOL,2032,0.0
RE1,S12,PWRSOL,1,SOL,2033,0.0
RE1,S12,PWRSOL,1,SOL,2034,0.0
RE1,S12,PWRSOL,1,SOL,2035,0.0
RE1,S12,PWRSOL,1,SOL,2036,0.0
RE1,S12,PWRSOL,1,SOL,2037,0.0
RE1,S12,PWRSOL,1,SOL,2038,0.0
RE1,S12,PWRSOL,1,SOL,2039,0.0
RE1,S12,PWRSOL,1,SOL,2040,0.0
RE1,S12,PWRTRN,1,ELC001,2020,40.0
RE1,S12,PWRTRN,1,ELC001,2021,41.2
RE1,S12,PWRTRN,1,ELC001,2022,42.436
RE1,S12,PWRTRN,1,ELC001,2023,43.7091
RE1,S12,PWRTRN,1,ELC001,2024,45.0204
RE1,S12,PWRTRN,1,ELC001,2025,46.371
RE1,S12,PWRTRN,1,ELC001,2026,47.7621
RE1,S12,PWRTRN,1,ELC001,2027,49.195
RE1,S12,PWRTRN,1,ELC001,2028,50.6708
RE1,S12,PWRTRN,1,ELC001,2029,52.1909
RE1,S12,PWRTRN,1,ELC001,2030,53.7567
RE1,S12,PWRTRN,1,ELC001,2031,55.3694
RE1,S12,PWRTRN,1,ELC001,2032,57.0304
RE1,S12,PWRTRN,1,ELC001,2033,58.7413
RE1,S12,PWRTRN,1,ELC001,2034,60.5036
RE1,S12,PWRTRN,1,ELC001,2035,62.3187
RE1,S12,PWRTRN,1,ELC001,2036,64.1883
RE1,S12,PWRTRN,1,ELC001,2037,66.1139
RE1,S12,PWRTRN,1,ELC001,2038,68.0973
RE1,S12,PWRTRN,1,ELC001,2039,70.1402
RE1,S12,PWRTRN,1,ELC001,2040,72.2444
RE1,S12,PWRWND,1,WND,2020,0.0
RE1,S12,PWRWND,1,WND,2021,0.0
RE1,S12,PWRWND,1,WND,2022,0.0
RE1,S12,PWRWND,1,WND,2023,0.0
RE1,S12,PWRWND,1,WND,2024,0.0
RE1,S12,PWRWND,1,WND,2025,0.0
RE1,S12,PWRWND,1,WND,2026,0.0
RE1,S12,PWRWND,1,WND,2027,0.0
RE1,S12,PWRWND,1,WND,2028,0.0
RE1,S12,PWRWND,1,WND,2029,0.0
RE1,S12,PWRWND,1,WND,2030,0.0
RE1,S12,PWRWND,1,WND,2031,0.0
RE1,S12,PWRWND,1,WND,2032,0.0
RE1,S12,PWRWND,1,WND,2033,0.0
RE1,S12,PWRWND,1,WND,2034,0.0
RE1,S12,PWRWND,1,WND,2035,0.0
RE1,S12,PWRWND,1,WND,2036,0.0
RE1,S12,PWRWND,1,WND,2037,0.0
RE1,S12,PWRWND,1,WND,2038,0.0
RE1,S12,PWRWND,1,WND,2039,0.0
RE1,S12,PWRWND,1,WND,2040,0.0
RE1,S21,PWRCOA,1,COA,2020,0.0
RE1,S21,PWRCOA,1,COA,2021,0.0
RE1,S21,PWRCOA,1,COA,2022,0.0
RE1,S21,PWRCOA,1,COA,2023,0.0
RE1,S21,PWRCOA,1,COA,2024,0.0
