r,t,f,y,ProductionByTechnologyAnnual
RE1,MINHYD,HYD,2029,0.0
RE1,MINHYD,HYD,2030,0.0
RE1,MINHYD,HYD,2031,0.0
RE1,MINHYD,HYD,2032,0.0
RE1,MINHYD,HYD,2033,0.0
RE1,MINHYD,HYD,2034,0.0
RE1,MINHYD,HYD,2035,0.0
RE1,MINHYD,HYD,2036,0.0
RE1,MINHYD,HYD,2037,0.0
RE1,MINHYD,HYD,2038,0.0
RE1,MINHYD,HYD,2039,0.0
RE1,MINHYD,HYD,2040,0.0
RE1,MINSOL,SOL,2020,0.0
RE1,MINSOL,SOL,2021,0.0
RE1,MINSOL,SOL,2022,0.0
RE1,MINSOL,SOL,2023,0.0
RE1,MINSOL,SOL,2024,0.0
RE1,MINSOL,SOL,2025,0.0
RE1,MINSOL,SOL,2026,0.0
RE1,MINSOL,SOL,2027,0.0
RE1,MINSOL,SOL,2028,0.0
RE1,MINSOL,SOL,2029,0.0
RE1,MINSOL,SOL,2030,0.0
RE1,MINSOL,SOL,2031,0.0
RE1,MINSOL,SOL,2032,0.0
RE1,MINSOL,SOL,2033,0.0
RE1,MINSOL,SOL,2034,0.0
RE1,MINSOL,SOL,2035,0.0
RE1,MINSOL,SOL,2036,0.0
RE1,MINSOL,SOL,2037,0.0
RE1,MINSOL,SOL,2038,0.0
RE1,MINSOL,SOL,2039,0.0
RE1,MINSOL,SOL,2040,0.0
RE1,MINWND,WND,2020,0.0
RE1,MINWND,WND,2021,0.0
RE1,MINWND,WND,2022,0.0
RE1,MINWND,WND,2023,0.0
RE1,MINWND,WND,2024,0.0
RE1,MINWND,WND,2025,0.0
RE1,MINWND,WND,2026,0.0
RE1,MINWND,WND,2027,0.0
RE1,MINWND,WND,2028,0.0
RE1,MINWND,WND,2029,0.0
RE1,MINWND,WND,2030,0.0
RE1,MINWND,WND,2031,0.0
RE1,MINWND,WND,2032,0.0
RE1,MINWND,WND,2033,0.0
RE1,MINWND,WND,2034,0.0
RE1,MINWND,WND,2035,0.0
RE1,MINWND,WND,2036,0.0
RE1,MINWND,WND,2037,0.0
RE1,MINWND,WND,2038,0.0
RE1,MINWND,WND,2039,0.0
RE1,MINWND,WND,2040,0.0
RE1,PWRCOA,ELC001,2020,0.0
RE1,PWRCOA,ELC001,2021,0.0
RE1,PWRCOA,ELC001,2022,0.0
RE1,PWRCOA,ELC001,2023,0.0
RE1,PWRCOA,ELC001,2024,0.0
RE1,PWRCOA,ELC001,2025,0.0
RE1,PWRCOA,ELC001,2026,0.0
RE1,PWRCOA,ELC001,2027,0.0
RE1,PWRCOA,ELC001,2028,0.0
RE1,PWRCOA,ELC001,2029,0.0
RE1,PWRCOA,ELC001,2030,0.0
RE1,PWRCOA,ELC001,2031,0.0
RE1,PWRCOA,ELC001,2032,0.0
RE1,PWRCOA,ELC001,2033,0.0
RE1,PWRCOA,ELC001,2034,0.0
RE1,PWRCOA,ELC001,2035,0.0
RE1,PWRCOA,ELC001,2036,0.0
RE1,PWRCOA,ELC001,2037,0.0
RE1,PWRCOA,ELC001,2038,0.0
RE1,PWRCOA,ELC001,2039,0.0
RE1,PWRCOA,ELC001,2040,0.0
RE1,PWRGAS,ELC001,2020,110.0
RE1,PWRGAS,ELC001,2021,113.3
RE1,PWRGAS,ELC001,2022,116.699
RE1,PWRGAS,ELC001,2023,120.2
RE1,PWRGAS,ELC001,2024,123.806
RE1,PWRGAS,ELC001,2025,127.5201
RE1,PWRGAS,ELC001,2026,131.3458
RE1,PWRGAS,ELC001,2027,135.2861
RE1,PWRGAS,ELC001,2028,139.3447
RE1,PWRGAS,ELC001,2029,143.525
RE1,PWRGAS,ELC001,2030,147.8308
RE1,PWRGAS,ELC001,2031,152.2657
