r,l,t,m,y,RateOfActivity
RE1,S12,LNDRICHI,1,2035,0.0
RE1,S12,LNDRICHR,1,2020,29.703
RE1,S12,LNDRICHR,1,2021,30.495
RE1,S12,LNDRICHR,1,2022,31.1881
RE1,S12,LNDRICHR,1,2023,31.9802
RE1,S12,LNDRICHR,1,2024,32.7723
RE1,S12,LNDRICHR,1,2025,33.5644
RE1,S12,LNDRICHR,1,2026,34.4554
RE1,S12,LNDRICHR,1,2027,35.3465
RE1,S12,LNDRICHR,1,2028,36.2376
RE1,S12,LNDRICHR,1,2029,37.1287
RE1,S12,LNDRICHR,1,2030,38.0198
RE1,S12,LNDRICHR,1,2031,39.0099
RE1,S12,LNDRICHR,1,2032,39.901
RE1,S12,LNDRICHR,1,2033,40.9901
RE1,S12,LNDRICHR,1,2034,41.9802
RE1,S12,LNDRICHR,1,2035,42.9703
RE1,S12,LNDWAT,1,2020,25.2475
RE1,S12,LNDWAT,1,2021,25.2475
RE1,S12,LNDWAT,1,2022,25.2475
RE1,S12,LNDWAT,1,2023,25.2475
RE1,S12,LNDWAT,1,2024,25.2475
RE1,S12,LNDWAT,1,2025,25.495
RE1,S12,LNDWAT,1,2026,25.495
RE1,S12,LNDWAT,1,2027,25.495
RE1,S12,LNDWAT,1,2028,25.495
RE1,S12,LNDWAT,1,2029,25.495
RE1,S12,LNDWAT,1,2030,25.495
RE1,S12,LNDWAT,1,2031,25.495
RE1,S12,LNDWAT,1,2032,25.495
RE1,S12,LNDWAT,1,2033,25.495
RE1,S12,LNDWAT,1,2034,25.495
RE1,S12,LNDWAT,1,2035,25.495
RE1,S12,MINCOA,1,2020,72.696
RE1,S12,MINCOA,1,2021,76.296
RE1,S12,MINCOA,1,2022,78.696
RE1,S12,MINCOA,1,2023,82.296
RE1,S12,MINCOA,1,2024,84.696
RE1,S12,MINCOA,1,2025,74.1048
RE1,S12,MINCOA,1,2026,77.7048
RE1,S12,MINCOA,1,2027,68.3784
RE1,S12,MINCOA,1,2028,55.6725
RE1,S12,MINCOA,1,2029,42.9666
RE1,S12,MINCOA,1,2030,0.0
RE1,S12,MINCOA,1,2031,0.0
RE1,S12,MINCOA,1,2032,0.0
RE1,S12,MINCOA,1,2033,0.0
RE1,S12,MINCOA,1,2034,0.0
RE1,S12,MINCOA,1,2035,0.0
RE1,S12,MINGAS,1,2020,0.0
RE1,S12,MINGAS,1,2021,0.0
RE1,S12,MINGAS,1,2022,0.0
RE1,S12,MINGAS,1,2023,0.0
RE1,S12,MINGAS,1,2024,0.0
RE1,S12,MINGAS,1,2025,0.0
RE1,S12,MINGAS,1,2026,0.0
RE1,S12,MINGAS,1,2027,0.0
RE1,S12,MINGAS,1,2028,0.0
RE1,S12,MINGAS,1,2029,0.0
RE1,S12,MINGAS,1,2030,0.0
RE1,S12,MINGAS,1,2031,0.0
RE1,S12,MINGAS,1,2032,0.0
RE1,S12,MINGAS,1,2033,0.0
RE1,S12,MINGAS,1,2034,0.0
RE1,S12,MINGAS,1,2035,0.0
RE1,S12,MINHYD,1,2020,9.4608
RE1,S12,MINHYD,1,2021,9.4608
RE1,S12,MINHYD,1,2022,9.4608
RE1,S12,MINHYD,1,2023,9.4608
RE1,S12,MINHYD,1,2024,9.4608
RE1,S12,MINHYD,1,2025,14.1912
RE1,S12,MINHYD,1,2026,14.1912
RE1,S12,MINHYD,1,2027,14.1912
RE1,S12,MINHYD,1,2028,14.1912
RE1,S12,MINHYD,1,2029,14.1912
RE1,S12,MINHYD,1,2030,14.1912
RE1,S12,MINHYD,1,2031,14.1912
RE1,S12,MINHYD,1,2032,14.1912
RE1,S12,MINHYD,1,2033,14.1912
RE1,S12,MINHYD,1,2034,14.1912
RE1,S12,MINHYD,1,2035,14.1912
RE1,S12,MINLND,1,2020,297.0297
RE1,S12,MINLND,1,2021,297.0297
RE1,S12,MINLND,1,2022,297.0297
RE1,S12,MINLND,1,2023,297.0297
RE1,S12,MINLND,1,2024,297.0297
RE1,S12,MINLND,1,2025,297.0297
RE1,S12,MINLND,1,2026,297.0297
RE1,S12,MINLND,1,2027,297.0297
RE1,S12,MINLND,1,2028,297.0297
RE1,S12,MINLND,1,2029,297.0297
RE1,S12,MINLND,1,2030,297.0297
RE1,S12,MINLND,1,2031,297.0297
RE1,S12,MINLND,1,2032,297.0297
RE1,S12,MINLND,1,2033,297.0297
RE1,S12,MINLND,1,2034,297.0297
RE1,S12,MINLND,1,2035,297.0297
RE1,S12,MINPRC,1,2020,356.4356
RE1,S12,MINPRC,1,2021,356.4356
RE1,S12,MINPRC,1,2022,356.4356
RE1,S12,MINPRC,1,2023,356.4356
RE1,S12,MINPRC,1,2024,356.4356
RE1,S12,MINPRC,1,2025,356.4356
RE1,S12,MINPRC,1,2026,356.4356
RE1,S12,MINPRC,1,2027,356.4356
RE1,S12,MINPRC,1,2028,356.4356
RE1,S12,MINPRC,1,2029,356.4356
RE1,S12,MINPRC,1,2030,356.4356
RE1,S12,MINPRC,1,2031,356.4356
RE1,S12,MINPRC,1,2032,356.4356
RE1,S12,MINPRC,1,2033,356.4356
RE1,S12,MINPRC,1,2034,356.4356
RE1,S12,MINPRC,1,2035,356.4356
RE1,S12,MINSOL,1,2020,0.0
RE1,S12,MINSOL,1,2021,0.0
RE1,S12,MINSOL,1,2022,0.0
RE1,S12,MINSOL,1,2023,0.0
RE1,S12,MINSOL,1,2024,0.0
RE1,S12,MINSOL,1,2025,0.0
RE1,S12,MINSOL,1,2026,0.0
RE1,S12,MINSOL,1,2027,0.0
RE1,S12,MINSOL,1,2028,0.0
RE1,S12,MINSOL,1,2029,0.0
RE1,S12,MINSOL,1,2030,0.0
RE1,S12,MINSOL,1,2031,0.0
RE1,S12,MINSOL,1,2032,0.0
RE1,S12,MINSOL,1,2033,0.0
RE1,S12,MINSOL,1,2034,0.0
RE1,S12,MINSOL,1,2035,0.0
RE1,S12,MINWND,1,2020,6.3072
RE1,S12,MINWND,1,2021,6.3072
RE1,S12,MINWND,1,2022,6.3072
RE1,S12,MINWND,1,2023,6.3072
RE1,S12,MINWND,1,2024,6.3072
RE1,S12,MINWND,1,2025,6.3072
RE1,S12,MINWND,1,2026,6.3072
RE1,S12,MINWND,1,2027,10.616
RE1,S12,MINWND,1,2028,16.0513
RE1,S12,MINWND,1,2029,21.4866
RE1,S12,MINWND,1,2030,37.0088
RE1,S12,MINWND,1,2031,38.2088
RE1,S12,MINWND,1,2032,39.4088
RE1,S12,MINWND,1,2033,41.0088
RE1,S12,MINWND,1,2034,42.2088
RE1,S12,MINWND,1,2035,43.8088
RE1,S12,PWRCOA,1,2020,24.232
RE1,S12,PWRCOA,1,2021,25.432
RE1,S12,PWRCOA,1,2022,26.232
RE1,S12,PWRCOA,1,2023,27.432
RE1,S12,PWRCOA,1,2024,28.232
RE1,S12,PWRCOA,1,2025,24.7016
RE1,S12,PWRCOA,1,2026,25.9016
RE1,S12,PWRCOA,1,2027,22.7928
RE1,S12,PWRCOA,1,2028,18.5575
RE1,S12,PWRCOA,1,2029,14.3222
RE1,S12,PWRCOA,1,2030,0.0
RE1,S12,PWRCOA,1,2031,0.0
RE1,S12,PWRCOA,1,2032,0.0
RE1,S12,PWRCOA,1,2033,0.0
RE1,S12,PWRCOA,1,2034,0.0
RE1,S12,PWRCOA,1,2035,0.0
RE1,S12,PWRGAS,1,2020,0.0
RE1,S12,PWRGAS,1,2021,0.0
RE1,S12,PWRGAS,1,2022,0.0
RE1,S12,PWRGAS,1,2023,0.0
RE1,S12,PWRGAS,1,2024,0.0
RE1,S12,PWRGAS,1,2025,0.0
RE1,S12,PWRGAS,1,2026,0.0
RE1,S12,PWRGAS,1,2027,0.0
RE1,S12,PWRGAS,1,2028,0.0
RE1,S12,PWRGAS,1,2029,0.0
RE1,S12,PWRGAS,1,2030,0.0
RE1,S12,PWRGAS,1,2031,0.0
RE1,S12,PWRGAS,1,2032,0.0
RE1,S12,PWRGAS,1,2033,0.0
RE1,S12,PWRGAS,1,2034,0.0
RE1,S12,PWRGAS,1,2035,0.0
RE1,S12,PWRHYD,1,2020,9.4608
RE1,S12,PWRHYD,1,2021,9.4608
RE1,S12,PWRHYD,1,2022,9.4608
RE1,S12,PWRHYD,1,2023,9.4608
RE1,S12,PWRHYD,1,2024,9.4608
RE1,S12,PWRHYD,1,2025,14.1912
RE1,S12,PWRHYD,1,2026,14.1912
RE1,S12,PWRHYD,1,2027,14.1912
RE1,S12,PWRHYD,1,2028,14.1912
RE1,S12,PWRHYD,1,2029,14.1912
RE1,S12,PWRHYD,1,2030,14.1912
RE1,S12,PWRHYD,1,2031,14.1912
RE1,S12,PWRHYD,1,2032,14.1912
RE1,S12,PWRHYD,1,2033,14.1912
RE1,S12,PWRHYD,1,2034,14.1912
RE1,S12,PWRHYD,1,2035,14.1912
RE1,S12,PWRSOL,1,2020,0.0
RE1,S12,PWRSOL,1,2021,0.0
RE1,S12,PWRSOL,1,2022,0.0
RE1,S12,PWRSOL,1,2023,0.0
RE1,S12,PWRSOL,1,2024,0.0
RE1,S12,PWRSOL,1,2025,0.0
RE1,S12,PWRSOL,1,2026,0.0
RE1,S12,PWRSOL,1,2027,0.0
RE1,S12,PWRSOL,1,2028,0.0
RE1,S12,PWRSOL,1,2029,0.0
RE1,S12,PWRSOL,1,2030,0.0
RE1,S12,PWRSOL,1,2031,0.0
RE1,S12,PWRSOL,1,2032,0.0
RE1,S12,PWRSOL,1,2033,0.0
RE1,S12,PWRSOL,1,2034,0.0
RE1,S12,PWRSOL,1,2035,0.0
RE1,S12,PWRTRN,1,2020,36.3636
RE1,S12,PWRTRN,1,2021,37.4545
RE1,S12,PWRTRN,1,2022,38.1818
RE1,S12,PWRTRN,1,2023,39.2727
RE1,S12,PWRTRN,1,2024,40.0
RE1,S12,PWRTRN,1,2025,41.0909
RE1,S12,PWRTRN,1,2026,42.1818
RE1,S12,PWRTRN,1,2027,43.2727
RE1,S12,PWRTRN,1,2028,44.3636
RE1,S12,PWRTRN,1,2029,45.4545
RE1,S12,PWRTRN,1,2030,46.5455
RE1,S12,PWRTRN,1,2031,47.6364
RE1,S12,PWRTRN,1,2032,48.7273
RE1,S12,PWRTRN,1,2033,50.1818
RE1,S12,PWRTRN,1,2034,51.2727
RE1,S12,PWRTRN,1,2035,52.7273
RE1,S12,PWRWND,1,2020,6.3072
RE1,S12,PWRWND,1,2021,6.3072
RE1,S12,PWRWND,1,2022,6.3072
RE1,S12,PWRWND,1,2023,6.3072
RE1,S12,PWRWND,1,2024,6.3072
RE1,S12,PWRWND,1,2025,6.3072
RE1,S12,PWRWND,1,2026,6.3072
RE1,S12,PWRWND,1,2027,10.616
RE1,S12,PWRWND,1,2028,16.0513
RE1,S12,PWRWND,1,2029,21.4866
RE1,S12,PWRWND,1,2030,37.0088
RE1,S12,PWRWND,1,2031,38.2088
RE1,S12,PWRWND,1,2032,39.4088
RE1,S12,PWRWND,1,2033,41.0088
RE1,S12,PWRWND,1,2034,42.2088
RE1,S12,PWRWND,1,2035,43.8088
RE1,S21,DEMPWRSURWAT,1,2020,0.0
RE1,S21,DEMPWRSURWAT,1,2021,0.0
RE1,S21,DEMPWRSURWAT,1,2022,0.0
RE1,S21,DEMPWRSURWAT,1,2023,0.0
RE1,S21,DEMPWRSURWAT,1,2024,0.0
RE1,S21,DEMPWRSURWAT,1,2025,0.0
RE1,S21,DEMPWRSURWAT,1,2026,0.0
RE1,S21,DEMPWRSURWAT,1,2027,0.0
RE1,S21,DEMPWRSURWAT,1,2028,0.0
RE1,S21,DEMPWRSURWAT,1,2029,0.0
