r,t,y,AnnualVariableOperatingCost
RE1,LNDRICHI,2024,0.0
RE1,LNDRICHI,2025,0.0
RE1,LNDRICHI,2026,0.0
RE1,LNDRICHI,2027,0.0
RE1,LNDRICHI,2028,0.0
RE1,LNDRICHI,2029,0.0
RE1,LNDRICHI,2030,0.0
RE1,LNDRICHI,2031,0.0
RE1,LNDRICHI,2032,0.0
RE1,LNDRICHI,2033,0.0
RE1,LNDRICHI,2034,0.0
RE1,LNDRICHI,2035,0.0
RE1,LNDRICHR,2020,0.003
RE1,LNDRICHR,2021,0.0031
RE1,LNDRICHR,2022,0.0032
RE1,LNDRICHR,2023,0.0032
RE1,LNDRICHR,2024,0.0033
RE1,LNDRICHR,2025,0.0034
RE1,LNDRICHR,2026,0.0035
RE1,LNDRICHR,2027,0.0036
RE1,LNDRICHR,2028,0.0037
RE1,LNDRICHR,2029,0.0038
RE1,LNDRICHR,2030,0.0038
RE1,LNDRICHR,2031,0.0039
RE1,LNDRICHR,2032,0.004
RE1,LNDRICHR,2033,0.0041
RE1,LNDRICHR,2034,0.0042
RE1,LNDRICHR,2035,0.0043
RE1,LNDWAT,2020,0.0035
RE1,LNDWAT,2021,0.0035
RE1,LNDWAT,2022,0.0035
RE1,LNDWAT,2023,0.0035
RE1,LNDWAT,2024,0.0035
RE1,LNDWAT,2025,0.004
RE1,LNDWAT,2026,0.004
RE1,LNDWAT,2027,0.004
RE1,LNDWAT,2028,0.004
RE1,LNDWAT,2029,0.004
RE1,LNDWAT,2030,0.004
RE1,LNDWAT,2031,0.004
RE1,LNDWAT,2032,0.004
RE1,LNDWAT,2033,0.004
RE1,LNDWAT,2034,0.004
RE1,LNDWAT,2035,0.004
RE1,MINCOA,2020,624.2473
RE1,MINCOA,2021,637.1173
RE1,MINCOA,2022,645.6973
RE1,MINCOA,2023,658.5673
RE1,MINCOA,2024,1072.3312
RE1,MINCOA,2025,1033.3964
RE1,MINCOA,2026,1062.1064
RE1,MINCOA,2027,1019.2365
RE1,MINCOA,2028,957.6527
RE1,MINCOA,2029,896.0688
RE1,MINCOA,2030,299.0781
RE1,MINCOA,2031,303.0014
RE1,MINCOA,2032,306.9247
RE1,MINCOA,2033,312.1558
RE1,MINCOA,2034,316.0792
RE1,MINCOA,2035,321.3103
RE1,MINGAS,2020,409.3325
RE1,MINGAS,2021,437.0525
RE1,MINGAS,2022,455.5325
RE1,MINGAS,2023,483.2525
RE1,MINGAS,2024,501.7325
RE1,MINGAS,2025,502.6469
RE1,MINGAS,2026,530.3669
RE1,MINGAS,2027,536.112
RE1,MINGAS,2028,536.112
RE1,MINGAS,2029,536.112
RE1,MINGAS,2030,619.8104
RE1,MINGAS,2031,639.5517
RE1,MINGAS,2032,659.2931
RE1,MINGAS,2033,685.6149
RE1,MINGAS,2034,705.3562
RE1,MINGAS,2035,731.678
RE1,MINHYD,2020,0.0026
RE1,MINHYD,2021,0.0026
RE1,MINHYD,2022,0.0026
RE1,MINHYD,2023,0.0026
RE1,MINHYD,2024,0.0012
RE1,MINHYD,2025,0.0018
RE1,MINHYD,2026,0.0018
RE1,MINHYD,2027,0.0018
RE1,MINHYD,2028,0.0018
RE1,MINHYD,2029,0.0018
RE1,MINHYD,2030,0.0014
RE1,MINHYD,2031,0.0018
RE1,MINHYD,2032,0.0014
RE1,MINHYD,2033,0.0018
RE1,MINHYD,2034,0.0018
RE1,MINHYD,2035,0.0018
RE1,MINLND,2020,0.03
RE1,MINLND,2021,0.03
RE1,MINLND,2022,0.03
RE1,MINLND,2023,0.03
RE1,MINLND,2024,0.03
RE1,MINLND,2025,0.03
RE1,MINLND,2026,0.03
RE1,MINLND,2027,0.03
RE1,MINLND,2028,0.03
RE1,MINLND,2029,0.03
RE1,MINLND,2030,0.03
RE1,MINLND,2031,0.03
RE1,MINLND,2032,0.03
RE1,MINLND,2033,0.03
RE1,MINLND,2034,0.03
RE1,MINLND,2035,0.03
RE1,MINPRC,2020,0.036
RE1,MINPRC,2021,0.036
RE1,MINPRC,2022,0.036
RE1,MINPRC,2023,0.036
