r,l,t,m,y,RateOfActivity
RE1,S11,LNDWAT,1,2035,39.604
RE1,S11,MINCOA,1,2020,0.0
RE1,S11,MINCOA,1,2021,0.0
RE1,S11,MINCOA,1,2022,0.0
RE1,S11,MINCOA,1,2023,0.0
RE1,S11,MINCOA,1,2024,180.0817
RE1,S11,MINCOA,1,2025,172.9305
RE1,S11,MINCOA,1,2026,179.9705
RE1,S11,MINCOA,1,2027,187.0105
RE1,S11,MINCOA,1,2028,194.0505
RE1,S11,MINCOA,1,2029,201.0905
RE1,S11,MINCOA,1,2030,0.0
RE1,S11,MINCOA,1,2031,0.0
RE1,S11,MINCOA,1,2032,0.0
RE1,S11,MINCOA,1,2033,0.0
RE1,S11,MINCOA,1,2034,0.0
RE1,S11,MINCOA,1,2035,0.0
RE1,S11,MINGAS,1,2020,0.0
RE1,S11,MINGAS,1,2021,0.0
RE1,S11,MINGAS,1,2022,0.0
RE1,S11,MINGAS,1,2023,0.0
RE1,S11,MINGAS,1,2024,0.0
RE1,S11,MINGAS,1,2025,0.0
RE1,S11,MINGAS,1,2026,0.0
RE1,S11,MINGAS,1,2027,0.0
RE1,S11,MINGAS,1,2028,0.0
RE1,S11,MINGAS,1,2029,0.0
RE1,S11,MINGAS,1,2030,0.0
RE1,S11,MINGAS,1,2031,0.0
RE1,S11,MINGAS,1,2032,0.0
RE1,S11,MINGAS,1,2033,0.0
RE1,S11,MINGAS,1,2034,0.0
RE1,S11,MINGAS,1,2035,0.0
RE1,S11,MINHYD,1,2020,9.4608
RE1,S11,MINHYD,1,2021,9.4608
RE1,S11,MINHYD,1,2022,9.4608
RE1,S11,MINHYD,1,2023,4.0284
RE1,S11,MINHYD,1,2024,9.4608
RE1,S11,MINHYD,1,2025,14.1912
RE1,S11,MINHYD,1,2026,14.1912
RE1,S11,MINHYD,1,2027,14.1912
RE1,S11,MINHYD,1,2028,14.1912
RE1,S11,MINHYD,1,2029,14.1912
RE1,S11,MINHYD,1,2030,14.1912
RE1,S11,MINHYD,1,2031,14.1912
RE1,S11,MINHYD,1,2032,14.1912
RE1,S11,MINHYD,1,2033,14.1912
RE1,S11,MINHYD,1,2034,14.1912
RE1,S11,MINHYD,1,2035,14.1912
RE1,S11,MINLND,1,2020,117.1875
RE1,S11,MINLND,1,2021,117.1875
RE1,S11,MINLND,1,2022,117.1875
RE1,S11,MINLND,1,2023,117.1875
RE1,S11,MINLND,1,2024,297.0297
RE1,S11,MINLND,1,2025,297.0297
RE1,S11,MINLND,1,2026,297.0297
RE1,S11,MINLND,1,2027,297.0297
RE1,S11,MINLND,1,2028,297.0297
RE1,S11,MINLND,1,2029,297.0297
RE1,S11,MINLND,1,2030,297.0297
RE1,S11,MINLND,1,2031,297.0297
RE1,S11,MINLND,1,2032,297.0297
RE1,S11,MINLND,1,2033,297.0297
RE1,S11,MINLND,1,2034,297.0297
RE1,S11,MINLND,1,2035,297.0297
RE1,S11,MINPRC,1,2020,140.625
RE1,S11,MINPRC,1,2021,140.625
RE1,S11,MINPRC,1,2022,140.625
RE1,S11,MINPRC,1,2023,140.625
RE1,S11,MINPRC,1,2024,356.4356
RE1,S11,MINPRC,1,2025,356.4356
RE1,S11,MINPRC,1,2026,356.4356
RE1,S11,MINPRC,1,2027,356.4356
RE1,S11,MINPRC,1,2028,356.4356
RE1,S11,MINPRC,1,2029,356.4356
RE1,S11,MINPRC,1,2030,356.4356
RE1,S11,MINPRC,1,2031,356.4356
RE1,S11,MINPRC,1,2032,356.4356
RE1,S11,MINPRC,1,2033,356.4356
RE1,S11,MINPRC,1,2034,356.4356
RE1,S11,MINPRC,1,2035,356.4356
RE1,S11,MINSOL,1,2020,0.0
RE1,S11,MINSOL,1,2021,5.5188
RE1,S11,MINSOL,1,2022,5.5188
RE1,S11,MINSOL,1,2023,5.5188
RE1,S11,MINSOL,1,2024,7.0956
RE1,S11,MINSOL,1,2025,7.0956
RE1,S11,MINSOL,1,2026,7.0956
RE1,S11,MINSOL,1,2027,7.0956
RE1,S11,MINSOL,1,2028,7.0956
RE1,S11,MINSOL,1,2029,7.0956
RE1,S11,MINSOL,1,2030,7.0956
RE1,S11,MINSOL,1,2031,7.0956
RE1,S11,MINSOL,1,2032,7.0956
RE1,S11,MINSOL,1,2033,7.0956
RE1,S11,MINSOL,1,2034,7.0956
RE1,S11,MINSOL,1,2035,7.0956
RE1,S11,MINWND,1,2020,8.1392
RE1,S11,MINWND,1,2021,3.1484
RE1,S11,MINWND,1,2022,3.5004
RE1,S11,MINWND,1,2023,9.4608
RE1,S11,MINWND,1,2024,9.4608
RE1,S11,MINWND,1,2025,9.4608
RE1,S11,MINWND,1,2026,9.4608
RE1,S11,MINWND,1,2027,9.4608
RE1,S11,MINWND,1,2028,9.4608
RE1,S11,MINWND,1,2029,9.4608
RE1,S11,MINWND,1,2030,78.8376
RE1,S11,MINWND,1,2031,81.1843
RE1,S11,MINWND,1,2032,83.531
RE1,S11,MINWND,1,2033,86.6599
RE1,S11,MINWND,1,2034,89.0065
RE1,S11,MINWND,1,2035,92.1354
RE1,S11,PWRCOA,1,2020,0.0
RE1,S11,PWRCOA,1,2021,0.0
RE1,S11,PWRCOA,1,2022,0.0
RE1,S11,PWRCOA,1,2023,0.0
RE1,S11,PWRCOA,1,2024,60.0272
RE1,S11,PWRCOA,1,2025,57.6435
RE1,S11,PWRCOA,1,2026,59.9902
RE1,S11,PWRCOA,1,2027,62.3368
RE1,S11,PWRCOA,1,2028,64.6835
RE1,S11,PWRCOA,1,2029,67.0302
RE1,S11,PWRCOA,1,2030,0.0
RE1,S11,PWRCOA,1,2031,0.0
RE1,S11,PWRCOA,1,2032,0.0
RE1,S11,PWRCOA,1,2033,0.0
RE1,S11,PWRCOA,1,2034,0.0
RE1,S11,PWRCOA,1,2035,0.0
RE1,S11,PWRGAS,1,2020,0.0
RE1,S11,PWRGAS,1,2021,0.0
RE1,S11,PWRGAS,1,2022,0.0
RE1,S11,PWRGAS,1,2023,0.0
RE1,S11,PWRGAS,1,2024,0.0
RE1,S11,PWRGAS,1,2025,0.0
RE1,S11,PWRGAS,1,2026,0.0
RE1,S11,PWRGAS,1,2027,0.0
RE1,S11,PWRGAS,1,2028,0.0
RE1,S11,PWRGAS,1,2029,0.0
RE1,S11,PWRGAS,1,2030,0.0
RE1,S11,PWRGAS,1,2031,0.0
RE1,S11,PWRGAS,1,2032,0.0
RE1,S11,PWRGAS,1,2033,0.0
RE1,S11,PWRGAS,1,2034,0.0
RE1,S11,PWRGAS,1,2035,0.0
RE1,S11,PWRHYD,1,2020,9.4608
RE1,S11,PWRHYD,1,2021,9.4608
RE1,S11,PWRHYD,1,2022,9.4608
RE1,S11,PWRHYD,1,2023,4.0284
RE1,S11,PWRHYD,1,2024,9.4608
RE1,S11,PWRHYD,1,2025,14.1912
RE1,S11,PWRHYD,1,2026,14.1912
RE1,S11,PWRHYD,1,2027,14.1912
RE1,S11,PWRHYD,1,2028,14.1912
RE1,S11,PWRHYD,1,2029,14.1912
RE1,S11,PWRHYD,1,2030,14.1912
RE1,S11,PWRHYD,1,2031,14.1912
RE1,S11,PWRHYD,1,2032,14.1912
RE1,S11,PWRHYD,1,2033,14.1912
RE1,S11,PWRHYD,1,2034,14.1912
RE1,S11,PWRHYD,1,2035,14.1912
RE1,S11,PWRSOL,1,2020,0.0
RE1,S11,PWRSOL,1,2021,5.5188
RE1,S11,PWRSOL,1,2022,5.5188
RE1,S11,PWRSOL,1,2023,5.5188
RE1,S11,PWRSOL,1,2024,7.0956
RE1,S11,PWRSOL,1,2025,7.0956
RE1,S11,PWRSOL,1,2026,7.0956
RE1,S11,PWRSOL,1,2027,7.0956
RE1,S11,PWRSOL,1,2028,7.0956
RE1,S11,PWRSOL,1,2029,7.0956
RE1,S11,PWRSOL,1,2030,7.0956
RE1,S11,PWRSOL,1,2031,7.0956
RE1,S11,PWRSOL,1,2032,7.0956
RE1,S11,PWRSOL,1,2033,7.0956
RE1,S11,PWRSOL,1,2034,7.0956
RE1,S11,PWRSOL,1,2035,7.0956
RE1,S11,PWRTRN,1,2020,16.0
RE1,S11,PWRTRN,1,2021,16.48
RE1,S11,PWRTRN,1,2022,16.8
RE1,S11,PWRTRN,1,2023,17.28
