r,t,l,y,RateOfTotalActivity
RE1,LNDBLT,S11,2020,3.9062
RE1,LNDBLT,S11,2021,4.0234
RE1,LNDBLT,S11,2022,4.1406
RE1,LNDBLT,S11,2023,4.2578
RE1,LNDBLT,S11,2024,11.1881
RE1,LNDBLT,S11,2025,11.4851
RE1,LNDBLT,S11,2026,11.7822
RE1,LNDBLT,S11,2027,12.1782
RE1,LNDBLT,S11,2028,12.5743
RE1,LNDBLT,S11,2029,12.8713
RE1,LNDBLT,S11,2030,13.2673
RE1,LNDBLT,S11,2031,13.6634
RE1,LNDBLT,S11,2032,14.1584
RE1,LNDBLT,S11,2033,14.5545
RE1,LNDBLT,S11,2034,14.9505
RE1,LNDBLT,S11,2035,15.4455
RE1,LNDBLT,S12,2020,3.9062
RE1,LNDBLT,S12,2021,4.0234
RE1,LNDBLT,S12,2022,4.1406
RE1,LNDBLT,S12,2023,4.2578
RE1,LNDBLT,S12,2024,11.1881
RE1,LNDBLT,S12,2025,11.4851
RE1,LNDBLT,S12,2026,11.7822
RE1,LNDBLT,S12,2027,12.1782
RE1,LNDBLT,S12,2028,12.5743
RE1,LNDBLT,S12,2029,12.8713
RE1,LNDBLT,S12,2030,13.2673
RE1,LNDBLT,S12,2031,13.6634
RE1,LNDBLT,S12,2032,14.1584
RE1,LNDBLT,S12,2033,14.5545
RE1,LNDBLT,S12,2034,14.9505
RE1,LNDBLT,S12,2035,15.4455
RE1,LNDBLT,S21,2020,3.9062
RE1,LNDBLT,S21,2021,4.0234
RE1,LNDBLT,S21,2022,4.1406
RE1,LNDBLT,S21,2023,4.2578
RE1,LNDBLT,S21,2024,11.1881
RE1,LNDBLT,S21,2025,11.4851
RE1,LNDBLT,S21,2026,11.7822
RE1,LNDBLT,S21,2027,12.1782
RE1,LNDBLT,S21,2028,12.5743
RE1,LNDBLT,S21,2029,12.8713
RE1,LNDBLT,S21,2030,13.2673
RE1,LNDBLT,S21,2031,13.6634
RE1,LNDBLT,S21,2032,14.1584
RE1,LNDBLT,S21,2033,14.5545
RE1,LNDBLT,S21,2034,14.9505
RE1,LNDBLT,S21,2035,15.4455
RE1,LNDBLT,S22,2020,3.9062
RE1,LNDBLT,S22,2021,4.0234
RE1,LNDBLT,S22,2022,4.1406
RE1,LNDBLT,S22,2023,4.2578
RE1,LNDBLT,S22,2024,11.1881
RE1,LNDBLT,S22,2025,11.4851
RE1,LNDBLT,S22,2026,11.7822
RE1,LNDBLT,S22,2027,12.1782
RE1,LNDBLT,S22,2028,12.5743
RE1,LNDBLT,S22,2029,12.8713
RE1,LNDBLT,S22,2030,13.2673
RE1,LNDBLT,S22,2031,13.6634
RE1,LNDBLT,S22,2032,14.1584
RE1,LNDBLT,S22,2033,14.5545
RE1,LNDBLT,S22,2034,14.9505
RE1,LNDBLT,S22,2035,15.4455
RE1,LNDFOR,S11,2020,68.3594
RE1,LNDFOR,S11,2021,67.4414
RE1,LNDFOR,S11,2022,66.5625
RE1,LNDFOR,S11,2023,65.5957
RE1,LNDFOR,S11,2024,163.7129
RE1,LNDFOR,S11,2025,161.2624
RE1,LNDFOR,S11,2026,158.7129
RE1,LNDFOR,S11,2027,156.0644
RE1,LNDFOR,S11,2028,153.2921
RE1,LNDFOR,S11,2029,150.495
RE1,LNDFOR,S11,2030,147.7228
RE1,LNDFOR,S11,2031,144.7277
RE1,LNDFOR,S11,2032,141.7327
RE1,LNDFOR,S11,2033,138.6386
RE1,LNDFOR,S11,2034,135.5198
RE1,LNDFOR,S11,2035,132.302
RE1,LNDFOR,S12,2020,68.3594
RE1,LNDFOR,S12,2021,67.4414
RE1,LNDFOR,S12,2022,66.5625
RE1,LNDFOR,S12,2023,65.5957
RE1,LNDFOR,S12,2024,163.7129
RE1,LNDFOR,S12,2025,161.2624
RE1,LNDFOR,S12,2026,158.7129
RE1,LNDFOR,S12,2027,156.0644
RE1,LNDFOR,S12,2028,153.2921
RE1,LNDFOR,S12,2029,150.495
RE1,LNDFOR,S12,2030,147.7228
RE1,LNDFOR,S12,2031,144.7277
RE1,LNDFOR,S12,2032,141.7327
RE1,LNDFOR,S12,2033,138.6386
RE1,LNDFOR,S12,2034,135.5198
RE1,LNDFOR,S12,2035,132.302
RE1,LNDFOR,S21,2020,68.3594
RE1,LNDFOR,S21,2021,67.4414
RE1,LNDFOR,S21,2022,66.5625
RE1,LNDFOR,S21,2023,65.5957
RE1,LNDFOR,S21,2024,163.7129
RE1,LNDFOR,S21,2025,161.2624
RE1,LNDFOR,S21,2026,158.7129
RE1,LNDFOR,S21,2027,156.0644
RE1,LNDFOR,S21,2028,153.2921
RE1,LNDFOR,S21,2029,150.495
RE1,LNDFOR,S21,2030,147.7228
RE1,LNDFOR,S21,2031,144.7277
RE1,LNDFOR,S21,2032,141.7327
RE1,LNDFOR,S21,2033,138.6386
RE1,LNDFOR,S21,2034,135.5198
RE1,LNDFOR,S21,2035,132.302
RE1,LNDFOR,S22,2020,68.3594
RE1,LNDFOR,S22,2021,67.4414
RE1,LNDFOR,S22,2022,66.5625
RE1,LNDFOR,S22,2023,65.5957
RE1,LNDFOR,S22,2024,163.7129
RE1,LNDFOR,S22,2025,161.2624
RE1,LNDFOR,S22,2026,158.7129
RE1,LNDFOR,S22,2027,156.0644
RE1,LNDFOR,S22,2028,153.2921
RE1,LNDFOR,S22,2029,150.495
RE1,LNDFOR,S22,2030,147.7228
RE1,LNDFOR,S22,2031,144.7277
RE1,LNDFOR,S22,2032,141.7327
RE1,LNDFOR,S22,2033,138.6386
RE1,LNDFOR,S22,2034,135.5198
RE1,LNDFOR,S22,2035,132.302
RE1,LNDMAIHI,S11,2020,0.0
RE1,LNDMAIHI,S11,2021,0.0
RE1,LNDMAIHI,S11,2022,0.0
RE1,LNDMAIHI,S11,2023,0.0
RE1,LNDMAIHI,S11,2024,0.0
RE1,LNDMAIHI,S11,2025,0.0
RE1,LNDMAIHI,S11,2026,0.0
RE1,LNDMAIHI,S11,2027,0.0
RE1,LNDMAIHI,S11,2028,0.0
RE1,LNDMAIHI,S11,2029,0.0
