r,l,t,m,y,RateOfActivity
RE1,S12,PWRGAS,1,2026,0.0144
RE1,S21,PWRGAS,1,2026,112.5016
RE1,S11,PWRGAS,1,2027,13.5237
RE1,S12,PWRGAS,1,2027,0.8409
RE1,S21,PWRGAS,1,2027,118.3123
RE1,S11,PWRGAS,1,2028,6.9778
RE1,S21,PWRGAS,1,2028,117.6482
RE1,S11,PWRGAS,1,2029,3.4538
RE1,S21,PWRGAS,1,2029,121.6348
RE1,S11,PWRGAS,1,2030,59.5514
RE1,S12,PWRGAS,1,2030,55.8103
RE1,S21,PWRGAS,1,2030,157.68
RE1,S22,PWRGAS,1,2030,52.2838
RE1,S11,PWRGAS,1,2031,97.6004
RE1,S12,PWRGAS,1,2031,78.6716
RE1,S21,PWRGAS,1,2031,126.144
RE1,S11,PWRGAS,1,2032,68.5648
RE1,S12,PWRGAS,1,2032,71.1291
RE1,S21,PWRGAS,1,2032,126.144
RE1,S22,PWRGAS,1,2032,19.3696
RE1,S11,PWRGAS,1,2033,59.418
RE1,S12,PWRGAS,1,2033,65.9264
RE1,S21,PWRGAS,1,2033,126.144
RE1,S22,PWRGAS,1,2033,12.2362
RE1,S11,PWRGAS,1,2034,43.7445
RE1,S12,PWRGAS,1,2034,50.2827
RE1,S21,PWRGAS,1,2034,121.3481
RE1,S11,PWRGAS,1,2035,30.8647
RE1,S12,PWRGAS,1,2035,22.1344
RE1,S21,PWRGAS,1,2035,123.09
RE1,S11,PWRCOA,1,2020,105.4864
RE1,S12,PWRCOA,1,2020,108.1009
RE1,S21,PWRCOA,1,2020,108.1009
RE1,S22,PWRCOA,1,2020,108.1009
RE1,S11,PWRCOA,1,2021,111.2321
RE1,S12,PWRCOA,1,2021,111.2321
RE1,S21,PWRCOA,1,2021,108.1009
RE1,S22,PWRCOA,1,2021,93.2123
RE1,S11,PWRCOA,1,2022,126.144
RE1,S12,PWRCOA,1,2022,126.144
RE1,S21,PWRCOA,1,2022,89.163
RE1,S22,PWRCOA,1,2022,85.6538
RE1,S11,PWRCOA,1,2023,126.144
RE1,S12,PWRCOA,1,2023,126.144
RE1,S21,PWRCOA,1,2023,87.6861
RE1,S22,PWRCOA,1,2023,88.6165
RE1,S11,PWRCOA,1,2024,126.144
RE1,S12,PWRCOA,1,2024,126.144
RE1,S21,PWRCOA,1,2024,86.8489
RE1,S22,PWRCOA,1,2024,90.296
RE1,S11,PWRCOA,1,2025,126.144
RE1,S12,PWRCOA,1,2025,126.144
RE1,S21,PWRCOA,1,2025,86.3552
RE1,S22,PWRCOA,1,2025,91.2864
RE1,S11,PWRCOA,1,2026,126.144
RE1,S12,PWRCOA,1,2026,126.144
RE1,S21,PWRCOA,1,2026,86.0018
RE1,S22,PWRCOA,1,2026,91.9953
RE1,S11,PWRCOA,1,2027,126.144
RE1,S12,PWRCOA,1,2027,126.144
RE1,S21,PWRCOA,1,2027,86.3885
