r,t,l,y,RateOfTotalActivity
RE1,MINCOA,S22,2027,378.432
RE1,MINCOA,S22,2028,378.432
RE1,MINCOA,S22,2029,378.432
RE1,MINCOA,S22,2030,189.216
RE1,MINCOA,S22,2031,189.216
RE1,MINCOA,S22,2032,23.9484
RE1,MINCOA,S22,2033,42.2902
RE1,MINCOA,S22,2034,167.7758
RE1,MINCOA,S22,2035,189.216
RE1,MINGAS,S11,2030,45.6358
RE1,MINGAS,S11,2031,32.1365
RE1,MINGAS,S11,2032,10.0812
RE1,MINGAS,S12,2026,0.0287
RE1,MINGAS,S12,2027,1.6819
RE1,MINGAS,S12,2030,224.2316
RE1,MINGAS,S12,2031,217.4098
RE1,MINGAS,S12,2032,90.8513
RE1,MINGAS,S12,2033,80.4459
RE1,MINGAS,S12,2034,58.9258
RE1,MINGAS,S12,2035,42.56
RE1,MINGAS,S21,2020,117.2489
RE1,MINGAS,S21,2021,136.386
RE1,MINGAS,S21,2022,162.4909
RE1,MINGAS,S21,2023,186.9573
RE1,MINGAS,S21,2024,205.9013
RE1,MINGAS,S21,2025,222.6063
RE1,MINGAS,S21,2026,239.3834
RE1,MINGAS,S21,2027,249.002
RE1,MINGAS,S21,2028,240.0246
RE1,MINGAS,S21,2029,243.6712
RE1,MINGAS,S21,2030,324.055
RE1,MINGAS,S21,2031,329.2171
RE1,MINGAS,S21,2032,329.2171
RE1,MINGAS,S21,2033,329.2171
RE1,MINGAS,S21,2034,329.2171
RE1,MINGAS,S21,2035,316.1178
RE1,MINGAS,S22,2020,6.9423
RE1,MINGAS,S22,2021,12.1177
RE1,MINGAS,S22,2022,19.1186
RE1,MINGAS,S22,2023,25.043
RE1,MINGAS,S22,2024,28.4015
RE1,MINGAS,S22,2025,30.3819
RE1,MINGAS,S22,2026,31.7996
RE1,MINGAS,S22,2027,30.2484
RE1,MINGAS,S22,2028,18.9335
RE1,MINGAS,S22,2029,13.2608
RE1,MINGAS,S22,2030,122.0724
RE1,MINGAS,S22,2031,116.575
RE1,MINGAS,S22,2032,195.4728
RE1,MINGAS,S22,2033,164.4828
RE1,MINGAS,S22,2034,46.9901
RE1,MINGAS,S22,2035,5.5001
RE1,PWRGAS,S11,2030,22.8179
RE1,PWRGAS,S11,2031,16.0683
RE1,PWRGAS,S11,2032,5.0406
RE1,PWRGAS,S12,2026,0.0144
RE1,PWRGAS,S12,2027,0.8409
RE1,PWRGAS,S12,2030,112.1158
RE1,PWRGAS,S12,2031,108.7049
RE1,PWRGAS,S12,2032,45.4256
RE1,PWRGAS,S12,2033,40.2229
RE1,PWRGAS,S12,2034,29.4629
RE1,PWRGAS,S12,2035,21.28
RE1,PWRGAS,S21,2020,58.6245
RE1,PWRGAS,S21,2021,68.193
RE1,PWRGAS,S21,2022,81.2455
RE1,PWRGAS,S21,2023,93.4786
RE1,PWRGAS,S21,2024,102.9506
RE1,PWRGAS,S21,2025,111.3032
RE1,PWRGAS,S21,2026,119.6917
RE1,PWRGAS,S21,2027,124.501
RE1,PWRGAS,S21,2028,120.0123
RE1,PWRGAS,S21,2029,121.8356
RE1,PWRGAS,S21,2030,162.0275
RE1,PWRGAS,S21,2031,164.6086
RE1,PWRGAS,S21,2032,164.6086
RE1,PWRGAS,S21,2033,164.6086
RE1,PWRGAS,S21,2034,164.6086
RE1,PWRGAS,S21,2035,158.0589
RE1,PWRGAS,S22,2020,3.4711
RE1,PWRGAS,S22,2021,6.0589
RE1,PWRGAS,S22,2022,9.5593
RE1,PWRGAS,S22,2023,12.5215
RE1,PWRGAS,S22,2024,14.2007
RE1,PWRGAS,S22,2025,15.1909
RE1,PWRGAS,S22,2026,15.8998
RE1,PWRGAS,S22,2027,15.1242
RE1,PWRGAS,S22,2028,9.4667
RE1,PWRGAS,S22,2029,6.6304
RE1,PWRGAS,S22,2030,61.0362
RE1,PWRGAS,S22,2031,58.2875
RE1,PWRGAS,S22,2032,97.7364
RE1,PWRGAS,S22,2033,82.2414
RE1,PWRGAS,S22,2034,23.495
RE1,PWRGAS,S22,2035,2.75
RE1,PWRCOA,S11,2020,97.5893
