r,t,y,TotalTechnologyAnnualActivity
RE1,MINGAS,2020,75.8686
RE1,MINGAS,2021,35.6535
RE1,MINGAS,2022,37.5015
RE1,MINGAS,2023,40.2735
RE1,MINGAS,2024,42.1215
RE1,MINGAS,2025,42.213
RE1,MINGAS,2026,44.985
RE1,MINGAS,2027,47.757
RE1,MINGAS,2028,50.529
RE1,MINGAS,2029,53.301
RE1,MINGAS,2030,53.6112
RE1,MINGAS,2031,53.6112
RE1,MINGAS,2032,53.6112
RE1,MINGAS,2033,53.6112
RE1,MINGAS,2034,53.6112
RE1,MINGAS,2035,53.6112
RE1,MINHYD,2020,11.6999
RE1,MINHYD,2021,11.6999
RE1,MINHYD,2022,11.6999
RE1,MINHYD,2023,11.6999
RE1,MINHYD,2024,11.6999
RE1,MINHYD,2025,17.5498
RE1,MINHYD,2026,17.5498
