t,f,m,y,InputActivityRatio,l,YearSplit,r,RateOfActivity,UseByTechnology
LNDMAIHI,LND,1,2030,1.0,S11,0.45,RE1,0.0,0.0
LNDMAIHI,LND,1,2031,1.0,S11,0.45,RE1,0.0,0.0
LNDMAIHI,LND,1,2032,1.0,S11,0.45,RE1,0.0,0.0
LNDMAIHI,LND,1,2033,1.0,S11,0.45,RE1,0.0,0.0
LNDMAIHI,LND,1,2034,1.0,S11,0.45,RE1,0.0,0.0
LNDMAIHI,LND,1,2035,1.0,S11,0.45,RE1,0.0,0.0
LNDMAIHI,WTRPRC,1,2020,1.2,S11,2.0,RE1,0.0,0.0
LNDMAIHI,WTRPRC,1,2021,1.2,S11,2.0,RE1,0.0,0.0
LNDMAIHI,WTRPRC,1,2022,1.2,S11,2.0,RE1,0.0,0.0
LNDMAIHI,WTRPRC,1,2023,1.2,S11,2.0,RE1,0.0,0.0
LNDMAIHI,WTRPRC,1,2024,1.2,S11,0.45,RE1,0.0,0.0
LNDMAIHI,WTRPRC,1,2025,1.2,S11,0.45,RE1,0.0,0.0
LNDMAIHI,WTRPRC,1,2026,1.2,S11,0.45,RE1,0.0,0.0
LNDMAIHI,WTRPRC,1,2027,1.2,S11,0.45,RE1,0.0,0.0
LNDMAIHI,WTRPRC,1,2028,1.2,S11,0.45,RE1,0.0,0.0
LNDMAIHI,WTRPRC,1,2029,1.2,S11,0.45,RE1,0.0,0.0
LNDMAIHI,WTRPRC,1,2030,1.2,S11,0.45,RE1,0.0,0.0
LNDMAIHI,WTRPRC,1,2031,1.2,S11,0.45,RE1,0.0,0.0
LNDMAIHI,WTRPRC,1,2032,1.2,S11,0.45,RE1,0.0,0.0
LNDMAIHI,WTRPRC,1,2033,1.2,S11,0.45,RE1,0.0,0.0
LNDMAIHI,WTRPRC,1,2034,1.2,S11,0.45,RE1,0.0,0.0
LNDMAIHI,WTRPRC,1,2035,1.2,S11,0.45,RE1,0.0,0.0
LNDMAIHR,LND,1,2020,1.0,S11,2.0,RE1,25.0,50.0
LNDMAIHR,LND,1,2021,1.0,S11,2.0,RE1,25.625,51.25
LNDMAIHR,LND,1,2022,1.0,S11,2.0,RE1,26.25,52.5
LNDMAIHR,LND,1,2023,1.0,S11,2.0,RE1,0.0,0.0
LNDMAIHR,LND,1,2024,1.0,S11,0.45,RE1,0.0,0.0
LNDMAIHR,LND,1,2025,1.0,S11,0.45,RE1,0.0,0.0
LNDMAIHR,LND,1,2026,1.0,S11,0.45,RE1,0.0,0.0
LNDMAIHR,LND,1,2027,1.0,S11,0.45,RE1,0.0,0.0
LNDMAIHR,LND,1,2028,1.0,S11,0.45,RE1,135.2778,60.875
LNDMAIHR,LND,1,2029,1.0,S11,0.45,RE1,138.8889,62.5
LNDMAIHR,LND,1,2030,1.0,S11,0.45,RE1,0.0,0.0
LNDMAIHR,LND,1,2031,1.0,S11,0.45,RE1,145.8333,65.625
LNDMAIHR,LND,1,2032,1.0,S11,0.45,RE1,149.4444,67.25
LNDMAIHR,LND,1,2033,1.0,S11,0.45,RE1,153.0556,68.875
LNDMAIHR,LND,1,2034,1.0,S11,0.45,RE1,156.9444,70.625
LNDMAIHR,LND,1,2035,1.0,S11,0.45,RE1,0.0,0.0
LNDMAIHR,WTRPRC,1,2020,1.2,S11,2.0,RE1,25.0,60.0
LNDMAIHR,WTRPRC,1,2021,1.2,S11,2.0,RE1,25.625,61.5
LNDMAIHR,WTRPRC,1,2022,1.2,S11,2.0,RE1,26.25,63.0
LNDMAIHR,WTRPRC,1,2023,1.2,S11,2.0,RE1,0.0,0.0
LNDMAIHR,WTRPRC,1,2024,1.2,S11,0.45,RE1,0.0,0.0
LNDMAIHR,WTRPRC,1,2025,1.2,S11,0.45,RE1,0.0,0.0
LNDMAIHR,WTRPRC,1,2026,1.2,S11,0.45,RE1,0.0,0.0
LNDMAIHR,WTRPRC,1,2027,1.2,S11,0.45,RE1,0.0,0.0
LNDMAIHR,WTRPRC,1,2028,1.2,S11,0.45,RE1,135.2778,73.05
LNDMAIHR,WTRPRC,1,2029,1.2,S11,0.45,RE1,138.8889,75.0
LNDMAIHR,WTRPRC,1,2030,1.2,S11,0.45,RE1,0.0,0.0
LNDMAIHR,WTRPRC,1,2031,1.2,S11,0.45,RE1,145.8333,78.75
LNDMAIHR,WTRPRC,1,2032,1.2,S11,0.45,RE1,149.4444,80.7
LNDMAIHR,WTRPRC,1,2033,1.2,S11,0.45,RE1,153.0556,82.65
LNDMAIHR,WTRPRC,1,2034,1.2,S11,0.45,RE1,156.9444,84.75
LNDMAIHR,WTRPRC,1,2035,1.2,S11,0.45,RE1,0.0,0.0
LNDRICHI,LND,1,2020,1.0,S11,2.0,RE1,0.0,0.0
LNDRICHI,LND,1,2021,1.0,S11,2.0,RE1,0.0,0.0
LNDRICHI,LND,1,2022,1.0,S11,2.0,RE1,0.0,0.0
LNDRICHI,LND,1,2023,1.0,S11,2.0,RE1,0.0,0.0
LNDRICHI,LND,1,2024,1.0,S11,0.45,RE1,0.0,0.0
LNDRICHI,LND,1,2025,1.0,S11,0.45,RE1,0.0,0.0
LNDRICHI,LND,1,2026,1.0,S11,0.45,RE1,0.0,0.0
LNDRICHI,LND,1,2027,1.0,S11,0.45,RE1,0.0,0.0
LNDRICHI,LND,1,2028,1.0,S11,0.45,RE1,0.0,0.0
LNDRICHI,LND,1,2029,1.0,S11,0.45,RE1,0.0,0.0
LNDRICHI,LND,1,2030,1.0,S11,0.45,RE1,0.0,0.0
LNDRICHI,LND,1,2031,1.0,S11,0.45,RE1,0.0,0.0
LNDRICHI,LND,1,2032,1.0,S11,0.45,RE1,0.0,0.0
LNDRICHI,LND,1,2033,1.0,S11,0.45,RE1,0.0,0.0
LNDRICHI,LND,1,2034,1.0,S11,0.45,RE1,0.0,0.0
LNDRICHI,LND,1,2035,1.0,S11,0.45,RE1,0.0,0.0
LNDRICHI,WTRPRC,1,2020,1.2,S11,2.0,RE1,0.0,0.0
LNDRICHI,WTRPRC,1,2021,1.2,S11,2.0,RE1,0.0,0.0
LNDRICHI,WTRPRC,1,2022,1.2,S11,2.0,RE1,0.0,0.0
