r,t,y,CapitalInvestment
RE1,DEMPWRHYD,2027,0.0
RE1,DEMPWRHYD,2028,0.0
RE1,DEMPWRHYD,2029,0.0
RE1,DEMPWRHYD,2030,0.0
RE1,DEMPWRHYD,2031,0.0
RE1,DEMPWRHYD,2032,0.0
RE1,DEMPWRHYD,2033,0.0
RE1,DEMPWRHYD,2034,0.0001
RE1,DEMPWRHYD,2035,0.0
RE1,DEMPWRHYD,2036,0.0
RE1,DEMPWRHYD,2037,0.0001
RE1,DEMPWRHYD,2038,0.0
RE1,DEMPWRHYD,2039,0.0
RE1,DEMPWRHYD,2040,0.0
RE1,DEMPWRHYD,2041,0.0
RE1,DEMPWRHYD,2042,0.0
RE1,DEMPWRHYD,2043,0.0
RE1,DEMPWRHYD,2044,0.0
RE1,DEMPWRHYD,2045,0.0
RE1,DEMPWRHYD,2046,0.0
RE1,DEMPWRHYD,2047,0.0
RE1,DEMPWRHYD,2048,0.0
RE1,DEMPWRHYD,2049,0.0
RE1,DEMPWRHYD,2050,0.0
RE1,DEMPWRLPG,2017,0.0
RE1,DEMPWRLPG,2018,0.0
RE1,DEMPWRLPG,2019,0.0
RE1,DEMPWRLPG,2020,0.0
RE1,DEMPWRLPG,2021,0.0
RE1,DEMPWRLPG,2022,0.0
RE1,DEMPWRLPG,2023,0.0
RE1,DEMPWRLPG,2024,0.0
RE1,DEMPWRLPG,2025,0.0
RE1,DEMPWRLPG,2026,0.0
RE1,DEMPWRLPG,2027,0.0
RE1,DEMPWRLPG,2028,0.0
RE1,DEMPWRLPG,2029,0.0
RE1,DEMPWRLPG,2030,0.0
RE1,DEMPWRLPG,2031,0.0
RE1,DEMPWRLPG,2032,0.0
RE1,DEMPWRLPG,2033,0.0
RE1,DEMPWRLPG,2034,0.0
RE1,DEMPWRLPG,2035,0.0
RE1,DEMPWRLPG,2036,0.0
RE1,DEMPWRLPG,2037,0.0
RE1,DEMPWRLPG,2038,0.0
RE1,DEMPWRLPG,2039,0.0
RE1,DEMPWRLPG,2040,0.0
RE1,DEMPWRLPG,2041,0.0
RE1,DEMPWRLPG,2042,0.0
RE1,DEMPWRLPG,2043,0.0
RE1,DEMPWRLPG,2044,0.0
RE1,DEMPWRLPG,2045,0.0
RE1,DEMPWRLPG,2046,0.0
RE1,DEMPWRLPG,2047,0.0
RE1,DEMPWRLPG,2048,0.0
RE1,DEMPWRLPG,2049,0.0
RE1,DEMPWRLPG,2050,0.0
RE1,DEMPWRNGS,2017,0.0048
RE1,DEMPWRNGS,2018,0.0001
RE1,DEMPWRNGS,2019,0.0005
RE1,DEMPWRNGS,2020,0.0
RE1,DEMPWRNGS,2021,0.0005
RE1,DEMPWRNGS,2022,0.0002
RE1,DEMPWRNGS,2023,0.0003
RE1,DEMPWRNGS,2024,0.0006
RE1,DEMPWRNGS,2025,0.0002
RE1,DEMPWRNGS,2026,0.0
RE1,DEMPWRNGS,2027,0.0
RE1,DEMPWRNGS,2028,0.0
RE1,DEMPWRNGS,2029,0.0
RE1,DEMPWRNGS,2030,0.0
RE1,DEMPWRNGS,2031,0.0
RE1,DEMPWRNGS,2032,0.0
RE1,DEMPWRNGS,2033,0.0
RE1,DEMPWRNGS,2034,0.0002
RE1,DEMPWRNGS,2035,0.0002
RE1,DEMPWRNGS,2036,0.0003
RE1,DEMPWRNGS,2037,0.0002
RE1,DEMPWRNGS,2038,0.0003
RE1,DEMPWRNGS,2039,0.0002
RE1,DEMPWRNGS,2040,0.0004
RE1,DEMPWRNGS,2041,0.0004
RE1,DEMPWRNGS,2042,0.0004
RE1,DEMPWRNGS,2043,0.0004
RE1,DEMPWRNGS,2044,0.0005
RE1,DEMPWRNGS,2045,0.0004
RE1,DEMPWRNGS,2046,0.0004
RE1,DEMPWRNGS,2047,0.0004
RE1,DEMPWRNGS,2048,0.0006
RE1,DEMPWRNGS,2049,0.0004
RE1,DEMPWRNGS,2050,0.0005
RE1,DEMPWRPCK,2017,0.0
RE1,DEMPWRPCK,2018,0.0
RE1,DEMPWRPCK,2019,0.0
RE1,DEMPWRPCK,2020,0.0
RE1,DEMPWRPCK,2021,0.0
RE1,DEMPWRPCK,2022,0.0
RE1,DEMPWRPCK,2023,0.0
RE1,DEMPWRPCK,2024,0.0
RE1,DEMPWRPCK,2025,0.0
RE1,DEMPWRPCK,2026,0.0
RE1,DEMPWRPCK,2027,0.0
RE1,DEMPWRPCK,2028,0.0
RE1,DEMPWRPCK,2029,0.0
RE1,DEMPWRPCK,2030,0.0
RE1,DEMPWRPCK,2031,0.0
RE1,DEMPWRPCK,2032,0.0
RE1,DEMPWRPCK,2033,0.0
RE1,DEMPWRPCK,2034,0.0
RE1,DEMPWRPCK,2035,0.0
RE1,DEMPWRPCK,2036,0.0
RE1,DEMPWRPCK,2037,0.0
RE1,DEMPWRPCK,2038,0.0
RE1,DEMPWRPCK,2039,0.0
RE1,DEMPWRPCK,2040,0.0
RE1,DEMPWRPCK,2041,0.0
RE1,DEMPWRPCK,2042,0.0
RE1,DEMPWRPCK,2043,0.0
RE1,DEMPWRPCK,2044,0.0
RE1,DEMPWRPCK,2045,0.0
RE1,DEMPWRPCK,2046,0.0
RE1,DEMPWRPCK,2047,0.0
RE1,DEMPWRPCK,2048,0.0
RE1,DEMPWRPCK,2049,0.0
RE1,DEMPWRPCK,2050,0.0
RE1,DEMPWRSOL,2017,0.0
RE1,DEMPWRSOL,2018,0.0001
RE1,DEMPWRSOL,2019,0.0001
RE1,DEMPWRSOL,2020,0.0
RE1,DEMPWRSOL,2021,0.0
RE1,DEMPWRSOL,2022,0.0
RE1,DEMPWRSOL,2023,0.0
RE1,DEMPWRSOL,2024,0.0
RE1,DEMPWRSOL,2025,0.0001
RE1,DEMPWRSOL,2026,0.0001
RE1,DEMPWRSOL,2027,0.0002
RE1,DEMPWRSOL,2028,0.0002
RE1,DEMPWRSOL,2029,0.0003
RE1,DEMPWRSOL,2030,0.0003
RE1,DEMPWRSOL,2031,0.0003
RE1,DEMPWRSOL,2032,0.0003
RE1,DEMPWRSOL,2033,0.0001
RE1,DEMPWRSOL,2034,0.0002
RE1,DEMPWRSOL,2035,0.0001
RE1,DEMPWRSOL,2036,0.0002
RE1,DEMPWRSOL,2037,0.0
RE1,DEMPWRSOL,2038,0.0002
RE1,DEMPWRSOL,2039,0.0002
RE1,DEMPWRSOL,2040,0.0002
RE1,DEMPWRSOL,2041,0.0001
RE1,DEMPWRSOL,2042,0.0003
RE1,DEMPWRSOL,2043,0.0001
RE1,DEMPWRSOL,2044,0.0001
RE1,DEMPWRSOL,2045,0.0001
RE1,DEMPWRSOL,2046,0.0
RE1,DEMPWRSOL,2047,0.0001
RE1,DEMPWRSOL,2048,0.0
RE1,DEMPWRSOL,2049,0.0003
RE1,DEMPWRSOL,2050,0.0001
RE1,DEMPWRURN,2017,0.0009
RE1,DEMPWRURN,2018,0.0
RE1,DEMPWRURN,2019,0.0
RE1,DEMPWRURN,2020,0.0
RE1,DEMPWRURN,2021,0.0
RE1,DEMPWRURN,2022,0.0
RE1,DEMPWRURN,2023,0.0
RE1,DEMPWRURN,2024,0.0
RE1,DEMPWRURN,2025,0.0
RE1,DEMPWRURN,2026,0.0
RE1,DEMPWRURN,2027,0.0
RE1,DEMPWRURN,2028,0.0
RE1,DEMPWRURN,2029,0.0
RE1,DEMPWRURN,2030,0.0
RE1,DEMPWRURN,2031,0.0
RE1,DEMPWRURN,2032,0.0
RE1,DEMPWRURN,2033,0.0
RE1,DEMPWRURN,2034,0.0
RE1,DEMPWRURN,2035,0.0
RE1,DEMPWRURN,2036,0.0
RE1,DEMPWRURN,2037,0.0
RE1,DEMPWRURN,2038,0.0
RE1,DEMPWRURN,2039,0.0003
RE1,DEMPWRURN,2040,0.0
RE1,DEMPWRURN,2041,0.0
RE1,DEMPWRURN,2042,0.0
RE1,DEMPWRURN,2043,0.0
RE1,DEMPWRURN,2044,0.0
RE1,DEMPWRURN,2045,0.0
RE1,DEMPWRURN,2046,0.0
RE1,DEMPWRURN,2047,0.0
RE1,DEMPWRURN,2048,0.0
RE1,DEMPWRURN,2049,0.0
RE1,DEMPWRURN,2050,0.0
RE1,DEMPWRWAS,2017,0.0
RE1,DEMPWRWAS,2018,0.0
RE1,DEMPWRWAS,2019,0.0
RE1,DEMPWRWAS,2020,0.0
RE1,DEMPWRWAS,2021,0.0
RE1,DEMPWRWAS,2022,0.0
RE1,DEMPWRWAS,2023,0.0
RE1,DEMPWRWAS,2024,0.0
RE1,DEMPWRWAS,2025,0.0
RE1,DEMPWRWAS,2026,0.0
RE1,DEMPWRWAS,2027,0.0
RE1,DEMPWRWAS,2028,0.0
RE1,DEMPWRWAS,2029,0.0
RE1,DEMPWRWAS,2030,0.0
RE1,DEMPWRWAS,2031,0.0
RE1,DEMPWRWAS,2032,0.0
RE1,DEMPWRWAS,2033,0.0
RE1,DEMPWRWAS,2034,0.0
RE1,DEMPWRWAS,2035,0.0
RE1,DEMPWRWAS,2036,0.0
RE1,DEMPWRWAS,2037,0.0
RE1,DEMPWRWAS,2038,0.0
RE1,DEMPWRWAS,2039,0.0
RE1,DEMPWRWAS,2040,0.0
RE1,DEMPWRWAS,2041,0.0
RE1,DEMPWRWAS,2042,0.0
RE1,DEMPWRWAS,2043,0.0
RE1,DEMPWRWAS,2044,0.0
RE1,DEMPWRWAS,2045,0.0
RE1,DEMPWRWAS,2046,0.0
RE1,DEMPWRWAS,2047,0.0
RE1,DEMPWRWAS,2048,0.0
RE1,DEMPWRWAS,2049,0.0
RE1,DEMPWRWAS,2050,0.0
RE1,DEMPWRWND,2017,0.0001
RE1,DEMPWRWND,2018,0.0
RE1,DEMPWRWND,2019,0.0001
RE1,DEMPWRWND,2020,0.0
RE1,DEMPWRWND,2021,0.0
RE1,DEMPWRWND,2022,0.0
RE1,DEMPWRWND,2023,0.0
RE1,DEMPWRWND,2024,0.0
RE1,DEMPWRWND,2025,0.0
RE1,DEMPWRWND,2026,0.0
RE1,DEMPWRWND,2027,0.0
RE1,DEMPWRWND,2028,0.0001
RE1,DEMPWRWND,2029,0.0001
RE1,DEMPWRWND,2030,0.0001
RE1,DEMPWRWND,2031,0.0001
RE1,DEMPWRWND,2032,0.0001
RE1,DEMPWRWND,2033,0.0001
RE1,DEMPWRWND,2034,0.0001
RE1,DEMPWRWND,2035,0.0001
RE1,DEMPWRWND,2036,0.0001
RE1,DEMPWRWND,2037,0.0001
RE1,DEMPWRWND,2038,0.0001
RE1,DEMPWRWND,2039,0.0001
RE1,DEMPWRWND,2040,0.0001
RE1,DEMPWRWND,2041,0.0
RE1,DEMPWRWND,2042,0.0001
RE1,DEMPWRWND,2043,0.0001
RE1,DEMPWRWND,2044,0.0
RE1,DEMPWRWND,2045,0.0001
RE1,DEMPWRWND,2046,0.0001
RE1,DEMPWRWND,2047,0.0001
RE1,DEMPWRWND,2048,0.0
RE1,DEMPWRWND,2049,0.0
RE1,DEMPWRWND,2050,0.0002
RE1,DEMRESELCB02,2017,0.0
RE1,DEMRESELCB02,2018,0.0
RE1,DEMRESELCB02,2019,7.7428
RE1,DEMRESELCB02,2020,813.0836
RE1,DEMRESELCB02,2021,0.0
RE1,DEMRESELCB02,2022,357.6812
RE1,DEMRESELCB02,2023,615.1073
RE1,DEMRESELCB02,2024,640.9832
RE1,DEMRESELCB02,2025,964.799
RE1,DEMRESELCB02,2026,618.4511
RE1,DEMRESELCB02,2027,0.0
RE1,DEMRESELCB02,2028,523.3363
RE1,DEMRESELCB02,2029,388.0763
RE1,DEMRESELCB02,2030,1033.4028
RE1,DEMRESELCB02,2031,1151.1783
RE1,DEMRESELCB02,2032,0.0
RE1,DEMRESELCB02,2033,355.995
RE1,DEMRESELCB02,2034,676.8548
RE1,DEMRESELCB02,2035,695.4109
RE1,DEMRESELCB02,2036,714.8506
RE1,DEMRESELCB02,2037,735.1739
RE1,DEMRESELCB02,2038,755.4972
RE1,DEMRESELCB02,2039,777.5877
RE1,DEMRESELCB02,2040,798.7947
RE1,DEMRESELCB02,2041,821.7689
RE1,DEMRESELCB02,2042,843.8594
RE1,DEMRESELCB02,2043,868.6009
RE1,DEMRESELCB02,2044,892.4587
RE1,DEMRESELCB02,2045,917.2001
RE1,DEMRESELCB02,2046,943.7088
RE1,DEMRESELCB02,2047,970.2174
RE1,DEMRESELCB02,2048,996.7261
RE1,DEMRESELCB02,2049,1025.002
RE1,DEMRESELCB02,2050,1054.1616
RE1,DEMRESELCC02,2017,0.0
RE1,DEMRESELCC02,2018,0.0
RE1,DEMRESELCC02,2019,10.9075
RE1,DEMRESELCC02,2020,1074.2634
RE1,DEMRESELCC02,2021,0.0
RE1,DEMRESELCC02,2022,191.2769
RE1,DEMRESELCC02,2023,1150.8262
RE1,DEMRESELCC02,2024,2074.6897
RE1,DEMRESELCC02,2025,1131.3207
RE1,DEMRESELCC02,2026,966.8224
RE1,DEMRESELCC02,2027,0.0
RE1,DEMRESELCC02,2028,169.568
RE1,DEMRESELCC02,2029,190.1536
RE1,DEMRESELCC02,2030,3265.3559
RE1,DEMRESELCC02,2031,1605.3277
RE1,DEMRESELCC02,2032,0.0
RE1,DEMRESELCC02,2033,249.68
RE1,DEMRESELCC02,2034,1162.4449
RE1,DEMRESELCC02,2035,1201.2518
RE1,DEMRESELCC02,2036,1239.1768
RE1,DEMRESELCC02,2037,1280.6297
RE1,DEMRESELCC02,2038,1322.9646
RE1,DEMRESELCC02,2039,1365.2994
RE1,DEMRESELCC02,2040,1410.2802
RE1,DEMRESELCC02,2041,1456.143
RE1,DEMRESELCC02,2042,1502.8877
RE1,DEMRESELCC02,2043,1553.1604
RE1,DEMRESELCC02,2044,1603.433
RE1,DEMRESELCC02,2045,1656.3516
RE1,DEMRESELCC02,2046,1709.2702
RE1,DEMRESELCC02,2047,1766.5987
RE1,DEMRESELCC02,2048,1823.0452
RE1,DEMRESELCC02,2049,1883.0195
RE1,DEMRESELCC02,2050,1944.7579
RE1,DEMRESELCD02,2017,0.0
RE1,DEMRESELCD02,2018,0.0
RE1,DEMRESELCD02,2019,4.8166
RE1,DEMRESELCD02,2020,399.1862
RE1,DEMRESELCD02,2021,460.1849
RE1,DEMRESELCD02,2022,82.8872
RE1,DEMRESELCD02,2023,528.1803
RE1,DEMRESELCD02,2024,661.5319
RE1,DEMRESELCD02,2025,587.8258
RE1,DEMRESELCD02,2026,244.9939
RE1,DEMRESELCD02,2027,474.6133
RE1,DEMRESELCD02,2028,90.2948
RE1,DEMRESELCD02,2029,247.3487
RE1,DEMRESELCD02,2030,957.8878
RE1,DEMRESELCD02,2031,798.3793
RE1,DEMRESELCD02,2032,247.7069
RE1,DEMRESELCD02,2033,544.026
RE1,DEMRESELCD02,2034,563.1739
RE1,DEMRESELCD02,2035,581.1955
RE1,DEMRESELCD02,2036,601.4698
RE1,DEMRESELCD02,2037,620.6177
RE1,DEMRESELCD02,2038,642.0183
RE1,DEMRESELCD02,2039,663.4189
RE1,DEMRESELCD02,2040,685.9459
RE1,DEMRESELCD02,2041,708.4728
RE1,DEMRESELCD02,2042,732.1261
RE1,DEMRESELCD02,2043,756.9058
RE1,DEMRESELCD02,2044,781.6854
RE1,DEMRESELCD02,2045,808.7178
RE1,DEMRESELCD02,2046,834.6238
RE1,DEMRESELCD02,2047,862.7825
RE1,DEMRESELCD02,2048,892.0675
RE1,DEMRESELCD02,2049,921.3526
RE1,DEMRESELCD02,2050,952.8903
RE1,DEMRESELCE02,2017,0.0
RE1,DEMRESELCE02,2018,0.0
RE1,DEMRESELCE02,2019,4.8416
RE1,DEMRESELCE02,2020,17.9074
RE1,DEMRESELCE02,2021,237.81
RE1,DEMRESELCE02,2022,137.0789
RE1,DEMRESELCE02,2023,625.1958
RE1,DEMRESELCE02,2024,881.2055
RE1,DEMRESELCE02,2025,431.7089
RE1,DEMRESELCE02,2026,0.0
RE1,DEMRESELCE02,2027,142.427
RE1,DEMRESELCE02,2028,287.2078
RE1,DEMRESELCE02,2029,14.3499
RE1,DEMRESELCE02,2030,1476.7847
RE1,DEMRESELCE02,2031,491.0696
RE1,DEMRESELCE02,2032,0.0
RE1,DEMRESELCE02,2033,286.8091
RE1,DEMRESELCE02,2034,487.3981
RE1,DEMRESELCE02,2035,501.5549
RE1,DEMRESELCE02,2036,517.7341
RE1,DEMRESELCE02,2037,533.9133
RE1,DEMRESELCE02,2038,550.0925
RE1,DEMRESELCE02,2039,567.2829
RE1,DEMRESELCE02,2040,585.4845
RE1,DEMRESELCE02,2041,603.6861
RE1,DEMRESELCE02,2042,622.8989
RE1,DEMRESELCE02,2043,642.1117
RE1,DEMRESELCE02,2044,661.3244
RE1,DEMRESELCE02,2045,683.5708
RE1,DEMRESELCE02,2046,703.7948
RE1,DEMRESELCE02,2047,726.0412
RE1,DEMRESELCE02,2048,749.2988
RE1,DEMRESELCE02,2049,771.5452
RE1,DEMRESELCE02,2050,796.8252
RE1,DEMRESELCF02,2017,0.0
RE1,DEMRESELCF02,2018,0.0
RE1,DEMRESELCF02,2019,9.7968
RE1,DEMRESELCF02,2020,813.628
RE1,DEMRESELCF02,2021,700.6581
RE1,DEMRESELCF02,2022,0.0
RE1,DEMRESELCF02,2023,1012.0627
RE1,DEMRESELCF02,2024,1700.6339
RE1,DEMRESELCF02,2025,1382.8192
RE1,DEMRESELCF02,2026,343.2504
RE1,DEMRESELCF02,2027,853.4354
RE1,DEMRESELCF02,2028,202.5661
RE1,DEMRESELCF02,2029,349.1633
RE1,DEMRESELCF02,2030,2619.1181
RE1,DEMRESELCF02,2031,1453.3131
RE1,DEMRESELCF02,2032,414.3811
RE1,DEMRESELCF02,2033,1123.9468
RE1,DEMRESELCF02,2034,1161.8902
RE1,DEMRESELCF02,2035,1200.8592
RE1,DEMRESELCF02,2036,1240.8537
RE1,DEMRESELCF02,2037,1283.9246
RE1,DEMRESELCF02,2038,1326.9956
RE1,DEMRESELCF02,2039,1372.1175
RE1,DEMRESELCF02,2040,1418.265
RE1,DEMRESELCF02,2041,1466.4634
RE1,DEMRESELCF02,2042,1515.6874
RE1,DEMRESELCF02,2043,1566.9623
RE1,DEMRESELCF02,2044,1620.2883
RE1,DEMRESELCF02,2045,1675.6652
RE1,DEMRESELCF02,2046,1732.0676
RE1,DEMRESELCF02,2047,1790.5211
RE1,DEMRESELCF02,2048,1851.0255
RE1,DEMRESELCF02,2049,1913.5809
RE1,DEMRESELCF02,2050,1978.1874
RE1,DEMRESELCG02,2017,0.0
RE1,DEMRESELCG02,2018,0.0
RE1,DEMRESELCG02,2019,2.3023
RE1,DEMRESELCG02,2020,4.5326
RE1,DEMRESELCG02,2021,232.815
RE1,DEMRESELCG02,2022,184.5699
RE1,DEMRESELCG02,2023,236.6403
RE1,DEMRESELCG02,2024,360.2629
RE1,DEMRESELCG02,2025,207.432
RE1,DEMRESELCG02,2026,0.0
RE1,DEMRESELCG02,2027,209.9027
RE1,DEMRESELCG02,2028,270.2961
RE1,DEMRESELCG02,2029,192.3588
RE1,DEMRESELCG02,2030,545.5256
RE1,DEMRESELCG02,2031,283.3462
RE1,DEMRESELCG02,2032,1.501
RE1,DEMRESELCG02,2033,290.3385
RE1,DEMRESELCG02,2034,301.5054
RE1,DEMRESELCG02,2035,313.6028
RE1,DEMRESELCG02,2036,324.7696
RE1,DEMRESELCG02,2037,337.7977
RE1,DEMRESELCG02,2038,350.8257
RE1,DEMRESELCG02,2039,364.7842
RE1,DEMRESELCG02,2040,377.8123
RE1,DEMRESELCG02,2041,393.632
RE1,DEMRESELCG02,2042,407.5906
RE1,DEMRESELCG02,2043,424.3409
RE1,DEMRESELCG02,2044,439.23
RE1,DEMRESELCG02,2045,457.8415
RE1,DEMRESELCG02,2046,474.5918
RE1,DEMRESELCG02,2047,492.2726
RE1,DEMRESELCG02,2048,511.8146
RE1,DEMRESELCG02,2049,532.2872
RE1,DEMRESELCG02,2050,551.8292
RE1,DEMRESELCH02,2017,0.0
RE1,DEMRESELCH02,2018,0.0
RE1,DEMRESELCH02,2019,2.8887
RE1,DEMRESELCH02,2020,101.0541
RE1,DEMRESELCH02,2021,160.2371
RE1,DEMRESELCH02,2022,145.8205
