r,rr,l,f,y,Trade
RE1,RE1,S11,ELCB01,2027,0
RE1,RE1,S11,ELCB01,2028,0
RE1,RE1,S11,ELCB01,2029,0
RE1,RE1,S11,ELCB01,2030,0
RE1,RE1,S11,ELCB01,2031,0
RE1,RE1,S11,ELCB01,2032,0
RE1,RE1,S11,ELCB01,2033,0
RE1,RE1,S11,ELCB01,2034,0
RE1,RE1,S11,ELCB01,2035,0
RE1,RE1,S11,ELCB01,2036,0
RE1,RE1,S11,ELCB01,2037,0
RE1,RE1,S11,ELCB01,2038,0
RE1,RE1,S11,ELCB01,2039,0
RE1,RE1,S11,ELCB01,2040,0
RE1,RE1,S11,ELCB01,2041,0
RE1,RE1,S11,ELCB01,2042,0
RE1,RE1,S11,ELCB01,2043,0
RE1,RE1,S11,ELCB01,2044,0
RE1,RE1,S11,ELCB01,2045,0
RE1,RE1,S11,ELCB01,2046,0
RE1,RE1,S11,ELCB01,2047,0
RE1,RE1,S11,ELCB01,2048,0
RE1,RE1,S11,ELCB01,2049,0
RE1,RE1,S11,ELCB01,2050,0
RE1,RE1,S11,ELCB02,2017,0
RE1,RE1,S11,ELCB02,2018,0
RE1,RE1,S11,ELCB02,2019,0
RE1,RE1,S11,ELCB02,2020,0
RE1,RE1,S11,ELCB02,2021,0
RE1,RE1,S11,ELCB02,2022,0
RE1,RE1,S11,ELCB02,2023,0
RE1,RE1,S11,ELCB02,2024,0
RE1,RE1,S11,ELCB02,2025,0
RE1,RE1,S11,ELCB02,2026,0
RE1,RE1,S11,ELCB02,2027,0
RE1,RE1,S11,ELCB02,2028,0
RE1,RE1,S11,ELCB02,2029,0
RE1,RE1,S11,ELCB02,2030,0
RE1,RE1,S11,ELCB02,2031,0
RE1,RE1,S11,ELCB02,2032,0
RE1,RE1,S11,ELCB02,2033,0
RE1,RE1,S11,ELCB02,2034,0
RE1,RE1,S11,ELCB02,2035,0
RE1,RE1,S11,ELCB02,2036,0
RE1,RE1,S11,ELCB02,2037,0
RE1,RE1,S11,ELCB02,2038,0
RE1,RE1,S11,ELCB02,2039,0
RE1,RE1,S11,ELCB02,2040,0
RE1,RE1,S11,ELCB02,2041,0
RE1,RE1,S11,ELCB02,2042,0
RE1,RE1,S11,ELCB02,2043,0
RE1,RE1,S11,ELCB02,2044,0
RE1,RE1,S11,ELCB02,2045,0
RE1,RE1,S11,ELCB02,2046,0
