r,t,f,y,InputToTotalCapacity
RE1,DEMPWRGEO,GEO,2020,0
RE1,DEMPWRGEO,GEO,2021,0
RE1,DEMPWRGEO,GEO,2022,0
RE1,DEMPWRGEO,GEO,2023,0
RE1,DEMPWRGEO,GEO,2024,0
RE1,DEMPWRGEO,GEO,2025,0
RE1,DEMPWRGEO,GEO,2026,0
RE1,DEMPWRGEO,GEO,2027,0
RE1,DEMPWRGEO,GEO,2028,0
RE1,DEMPWRGEO,GEO,2029,0
RE1,DEMPWRGEO,GEO,2030,0
RE1,DEMPWRGEO,GEO,2031,0
RE1,DEMPWRGEO,GEO,2032,0
RE1,DEMPWRGEO,GEO,2033,0
RE1,DEMPWRGEO,GEO,2034,0
RE1,DEMPWRGEO,GEO,2035,0
RE1,DEMPWRGEO,GEO,2036,0
RE1,DEMPWRGEO,GEO,2037,0
RE1,DEMPWRGEO,GEO,2038,0
RE1,DEMPWRGEO,GEO,2039,0
RE1,DEMPWRGEO,GEO,2040,0
RE1,DEMPWRGEO,GEO,2041,0
RE1,DEMPWRGEO,GEO,2042,0
RE1,DEMPWRGEO,GEO,2043,0
RE1,DEMPWRGEO,GEO,2044,0
RE1,DEMPWRGEO,GEO,2045,0
RE1,DEMPWRGEO,GEO,2046,0
RE1,DEMPWRGEO,GEO,2047,0
RE1,DEMPWRGEO,GEO,2048,0
RE1,DEMPWRGEO,GEO,2049,0
RE1,DEMPWRGEO,GEO,2050,0
RE1,DEMPWRHFO,HFO,2017,0
RE1,DEMPWRHFO,HFO,2018,0
RE1,DEMPWRHFO,HFO,2019,0
RE1,DEMPWRHFO,HFO,2020,0
RE1,DEMPWRHFO,HFO,2021,0
RE1,DEMPWRHFO,HFO,2022,0
RE1,DEMPWRHFO,HFO,2023,0
RE1,DEMPWRHFO,HFO,2024,0
RE1,DEMPWRHFO,HFO,2025,0
RE1,DEMPWRHFO,HFO,2026,0
RE1,DEMPWRHFO,HFO,2027,0
RE1,DEMPWRHFO,HFO,2028,0
RE1,DEMPWRHFO,HFO,2029,0
RE1,DEMPWRHFO,HFO,2030,0
RE1,DEMPWRHFO,HFO,2031,0
RE1,DEMPWRHFO,HFO,2032,0
RE1,DEMPWRHFO,HFO,2033,0
RE1,DEMPWRHFO,HFO,2034,0
RE1,DEMPWRHFO,HFO,2035,0
RE1,DEMPWRHFO,HFO,2036,0
RE1,DEMPWRHFO,HFO,2037,0
RE1,DEMPWRHFO,HFO,2038,0
RE1,DEMPWRHFO,HFO,2039,0
RE1,DEMPWRHFO,HFO,2040,0
RE1,DEMPWRHFO,HFO,2041,0
RE1,DEMPWRHFO,HFO,2042,0
RE1,DEMPWRHFO,HFO,2043,0
RE1,DEMPWRHFO,HFO,2044,0
RE1,DEMPWRHFO,HFO,2045,0
RE1,DEMPWRHFO,HFO,2046,0
RE1,DEMPWRHFO,HFO,2047,0
RE1,DEMPWRHFO,HFO,2048,0
RE1,DEMPWRHFO,HFO,2049,0
RE1,DEMPWRHFO,HFO,2050,0
RE1,DEMPWRHYD,HYD,2017,0
RE1,DEMPWRHYD,HYD,2018,0
RE1,DEMPWRHYD,HYD,2019,0
RE1,DEMPWRHYD,HYD,2020,0
RE1,DEMPWRHYD,HYD,2021,0
RE1,DEMPWRHYD,HYD,2022,0
RE1,DEMPWRHYD,HYD,2023,0
RE1,DEMPWRHYD,HYD,2024,0
RE1,DEMPWRHYD,HYD,2025,0
RE1,DEMPWRHYD,HYD,2026,0
RE1,DEMPWRHYD,HYD,2027,0
RE1,DEMPWRHYD,HYD,2028,0
RE1,DEMPWRHYD,HYD,2029,0
RE1,DEMPWRHYD,HYD,2030,0
RE1,DEMPWRHYD,HYD,2031,0
RE1,DEMPWRHYD,HYD,2032,0
RE1,DEMPWRHYD,HYD,2033,0
RE1,DEMPWRHYD,HYD,2034,0
RE1,DEMPWRHYD,HYD,2035,0
RE1,DEMPWRHYD,HYD,2036,0
RE1,DEMPWRHYD,HYD,2037,0
RE1,DEMPWRHYD,HYD,2038,0
RE1,DEMPWRHYD,HYD,2039,0
RE1,DEMPWRHYD,HYD,2040,0
RE1,DEMPWRHYD,HYD,2041,0
RE1,DEMPWRHYD,HYD,2042,0
RE1,DEMPWRHYD,HYD,2043,0
RE1,DEMPWRHYD,HYD,2044,0
RE1,DEMPWRHYD,HYD,2045,0
RE1,DEMPWRHYD,HYD,2046,0
RE1,DEMPWRHYD,HYD,2047,0
RE1,DEMPWRHYD,HYD,2048,0
RE1,DEMPWRHYD,HYD,2049,0
RE1,DEMPWRHYD,HYD,2050,0
RE1,DEMPWRLPG,LPG,2017,0
RE1,DEMPWRLPG,LPG,2018,0
RE1,DEMPWRLPG,LPG,2019,0
RE1,DEMPWRLPG,LPG,2020,0
RE1,DEMPWRLPG,LPG,2021,0
RE1,DEMPWRLPG,LPG,2022,0
RE1,DEMPWRLPG,LPG,2023,0
RE1,DEMPWRLPG,LPG,2024,0
RE1,DEMPWRLPG,LPG,2025,0
RE1,DEMPWRLPG,LPG,2026,0
RE1,DEMPWRLPG,LPG,2027,0
RE1,DEMPWRLPG,LPG,2028,0
RE1,DEMPWRLPG,LPG,2029,0
RE1,DEMPWRLPG,LPG,2030,0
RE1,DEMPWRLPG,LPG,2031,0
RE1,DEMPWRLPG,LPG,2032,0
RE1,DEMPWRLPG,LPG,2033,0
RE1,DEMPWRLPG,LPG,2034,0
RE1,DEMPWRLPG,LPG,2035,0
RE1,DEMPWRLPG,LPG,2036,0
RE1,DEMPWRLPG,LPG,2037,0
RE1,DEMPWRLPG,LPG,2038,0
RE1,DEMPWRLPG,LPG,2039,0
RE1,DEMPWRLPG,LPG,2040,0
RE1,DEMPWRLPG,LPG,2041,0
RE1,DEMPWRLPG,LPG,2042,0
RE1,DEMPWRLPG,LPG,2043,0
RE1,DEMPWRLPG,LPG,2044,0
RE1,DEMPWRLPG,LPG,2045,0
RE1,DEMPWRLPG,LPG,2046,0
RE1,DEMPWRLPG,LPG,2047,0
RE1,DEMPWRLPG,LPG,2048,0
RE1,DEMPWRLPG,LPG,2049,0
RE1,DEMPWRLPG,LPG,2050,0
RE1,DEMPWRNGS,NGS,2017,0
RE1,DEMPWRNGS,NGS,2018,0
RE1,DEMPWRNGS,NGS,2019,0
RE1,DEMPWRNGS,NGS,2020,0
RE1,DEMPWRNGS,NGS,2021,0
RE1,DEMPWRNGS,NGS,2022,0
RE1,DEMPWRNGS,NGS,2023,0
RE1,DEMPWRNGS,NGS,2024,0
RE1,DEMPWRNGS,NGS,2025,0
RE1,DEMPWRNGS,NGS,2026,0
RE1,DEMPWRNGS,NGS,2027,0
RE1,DEMPWRNGS,NGS,2028,0
RE1,DEMPWRNGS,NGS,2029,0
RE1,DEMPWRNGS,NGS,2030,0
RE1,DEMPWRNGS,NGS,2031,0
RE1,DEMPWRNGS,NGS,2032,0
RE1,DEMPWRNGS,NGS,2033,0
RE1,DEMPWRNGS,NGS,2034,0
RE1,DEMPWRNGS,NGS,2035,0
RE1,DEMPWRNGS,NGS,2036,0
RE1,DEMPWRNGS,NGS,2037,0
RE1,DEMPWRNGS,NGS,2038,0
RE1,DEMPWRNGS,NGS,2039,0
RE1,DEMPWRNGS,NGS,2040,0
RE1,DEMPWRNGS,NGS,2041,0
RE1,DEMPWRNGS,NGS,2042,0
RE1,DEMPWRNGS,NGS,2043,0
RE1,DEMPWRNGS,NGS,2044,0
RE1,DEMPWRNGS,NGS,2045,0
RE1,DEMPWRNGS,NGS,2046,0
RE1,DEMPWRNGS,NGS,2047,0
RE1,DEMPWRNGS,NGS,2048,0
RE1,DEMPWRNGS,NGS,2049,0
RE1,DEMPWRNGS,NGS,2050,0
RE1,DEMPWRPCK,PCK,2017,0
RE1,DEMPWRPCK,PCK,2018,0
RE1,DEMPWRPCK,PCK,2019,0
RE1,DEMPWRPCK,PCK,2020,0
RE1,DEMPWRPCK,PCK,2021,0
RE1,DEMPWRPCK,PCK,2022,0
RE1,DEMPWRPCK,PCK,2023,0
RE1,DEMPWRPCK,PCK,2024,0
RE1,DEMPWRPCK,PCK,2025,0
RE1,DEMPWRPCK,PCK,2026,0
RE1,DEMPWRPCK,PCK,2027,0
RE1,DEMPWRPCK,PCK,2028,0
RE1,DEMPWRPCK,PCK,2029,0
RE1,DEMPWRPCK,PCK,2030,0
RE1,DEMPWRPCK,PCK,2031,0
RE1,DEMPWRPCK,PCK,2032,0
RE1,DEMPWRPCK,PCK,2033,0
RE1,DEMPWRPCK,PCK,2034,0
RE1,DEMPWRPCK,PCK,2035,0
RE1,DEMPWRPCK,PCK,2036,0
RE1,DEMPWRPCK,PCK,2037,0
RE1,DEMPWRPCK,PCK,2038,0
RE1,DEMPWRPCK,PCK,2039,0
RE1,DEMPWRPCK,PCK,2040,0
RE1,DEMPWRPCK,PCK,2041,0
RE1,DEMPWRPCK,PCK,2042,0
RE1,DEMPWRPCK,PCK,2043,0
RE1,DEMPWRPCK,PCK,2044,0
RE1,DEMPWRPCK,PCK,2045,0
RE1,DEMPWRPCK,PCK,2046,0
RE1,DEMPWRPCK,PCK,2047,0
RE1,DEMPWRPCK,PCK,2048,0
RE1,DEMPWRPCK,PCK,2049,0
RE1,DEMPWRPCK,PCK,2050,0
RE1,DEMPWRSOL,SOL,2017,0
RE1,DEMPWRSOL,SOL,2018,0
RE1,DEMPWRSOL,SOL,2019,0
RE1,DEMPWRSOL,SOL,2020,0
RE1,DEMPWRSOL,SOL,2021,0
RE1,DEMPWRSOL,SOL,2022,0
RE1,DEMPWRSOL,SOL,2023,0
RE1,DEMPWRSOL,SOL,2024,0
RE1,DEMPWRSOL,SOL,2025,0
RE1,DEMPWRSOL,SOL,2026,0
RE1,DEMPWRSOL,SOL,2027,0
RE1,DEMPWRSOL,SOL,2028,0
RE1,DEMPWRSOL,SOL,2029,0
RE1,DEMPWRSOL,SOL,2030,0
RE1,DEMPWRSOL,SOL,2031,0
RE1,DEMPWRSOL,SOL,2032,0
RE1,DEMPWRSOL,SOL,2033,0
RE1,DEMPWRSOL,SOL,2034,0
RE1,DEMPWRSOL,SOL,2035,0
RE1,DEMPWRSOL,SOL,2036,0
RE1,DEMPWRSOL,SOL,2037,0
RE1,DEMPWRSOL,SOL,2038,0
RE1,DEMPWRSOL,SOL,2039,0
RE1,DEMPWRSOL,SOL,2040,0
RE1,DEMPWRSOL,SOL,2041,0
RE1,DEMPWRSOL,SOL,2042,0
RE1,DEMPWRSOL,SOL,2043,0
RE1,DEMPWRSOL,SOL,2044,0
RE1,DEMPWRSOL,SOL,2045,0
RE1,DEMPWRSOL,SOL,2046,0
RE1,DEMPWRSOL,SOL,2047,0
RE1,DEMPWRSOL,SOL,2048,0
RE1,DEMPWRSOL,SOL,2049,0
RE1,DEMPWRSOL,SOL,2050,0
RE1,DEMPWRURN,URN,2017,0
RE1,DEMPWRURN,URN,2018,0
RE1,DEMPWRURN,URN,2019,0
RE1,DEMPWRURN,URN,2020,0
RE1,DEMPWRURN,URN,2021,0
RE1,DEMPWRURN,URN,2022,0
RE1,DEMPWRURN,URN,2023,0
RE1,DEMPWRURN,URN,2024,0
RE1,DEMPWRURN,URN,2025,0
RE1,DEMPWRURN,URN,2026,0
RE1,DEMPWRURN,URN,2027,0
RE1,DEMPWRURN,URN,2028,0
RE1,DEMPWRURN,URN,2029,0
RE1,DEMPWRURN,URN,2030,0
RE1,DEMPWRURN,URN,2031,0
RE1,DEMPWRURN,URN,2032,0
RE1,DEMPWRURN,URN,2033,0
RE1,DEMPWRURN,URN,2034,0
RE1,DEMPWRURN,URN,2035,0
RE1,DEMPWRURN,URN,2036,0
RE1,DEMPWRURN,URN,2037,0
RE1,DEMPWRURN,URN,2038,0
RE1,DEMPWRURN,URN,2039,0
RE1,DEMPWRURN,URN,2040,0
RE1,DEMPWRURN,URN,2041,0
RE1,DEMPWRURN,URN,2042,0
RE1,DEMPWRURN,URN,2043,0
RE1,DEMPWRURN,URN,2044,0
RE1,DEMPWRURN,URN,2045,0
RE1,DEMPWRURN,URN,2046,0
RE1,DEMPWRURN,URN,2047,0
RE1,DEMPWRURN,URN,2048,0
RE1,DEMPWRURN,URN,2049,0
RE1,DEMPWRURN,URN,2050,0
RE1,DEMPWRWAS,WAS,2017,0
RE1,DEMPWRWAS,WAS,2018,0
RE1,DEMPWRWAS,WAS,2019,0
RE1,DEMPWRWAS,WAS,2020,0
RE1,DEMPWRWAS,WAS,2021,0
RE1,DEMPWRWAS,WAS,2022,0
RE1,DEMPWRWAS,WAS,2023,0
RE1,DEMPWRWAS,WAS,2024,0
RE1,DEMPWRWAS,WAS,2025,0
RE1,DEMPWRWAS,WAS,2026,0
RE1,DEMPWRWAS,WAS,2027,0
RE1,DEMPWRWAS,WAS,2028,0
RE1,DEMPWRWAS,WAS,2029,0
RE1,DEMPWRWAS,WAS,2030,0
RE1,DEMPWRWAS,WAS,2031,0
RE1,DEMPWRWAS,WAS,2032,0
RE1,DEMPWRWAS,WAS,2033,0
RE1,DEMPWRWAS,WAS,2034,0
RE1,DEMPWRWAS,WAS,2035,0
RE1,DEMPWRWAS,WAS,2036,0
RE1,DEMPWRWAS,WAS,2037,0
RE1,DEMPWRWAS,WAS,2038,0
RE1,DEMPWRWAS,WAS,2039,0
RE1,DEMPWRWAS,WAS,2040,0
RE1,DEMPWRWAS,WAS,2041,0
RE1,DEMPWRWAS,WAS,2042,0
RE1,DEMPWRWAS,WAS,2043,0
RE1,DEMPWRWAS,WAS,2044,0
RE1,DEMPWRWAS,WAS,2045,0
RE1,DEMPWRWAS,WAS,2046,0
RE1,DEMPWRWAS,WAS,2047,0
RE1,DEMPWRWAS,WAS,2048,0
RE1,DEMPWRWAS,WAS,2049,0
RE1,DEMPWRWAS,WAS,2050,0
RE1,DEMPWRWND,WND,2017,0
RE1,DEMPWRWND,WND,2018,0
RE1,DEMPWRWND,WND,2019,0
RE1,DEMPWRWND,WND,2020,0
RE1,DEMPWRWND,WND,2021,0
RE1,DEMPWRWND,WND,2022,0
RE1,DEMPWRWND,WND,2023,0
RE1,DEMPWRWND,WND,2024,0
RE1,DEMPWRWND,WND,2025,0
RE1,DEMPWRWND,WND,2026,0
RE1,DEMPWRWND,WND,2027,0
RE1,DEMPWRWND,WND,2028,0
RE1,DEMPWRWND,WND,2029,0
RE1,DEMPWRWND,WND,2030,0
RE1,DEMPWRWND,WND,2031,0
RE1,DEMPWRWND,WND,2032,0
RE1,DEMPWRWND,WND,2033,0
RE1,DEMPWRWND,WND,2034,0
RE1,DEMPWRWND,WND,2035,0
RE1,DEMPWRWND,WND,2036,0
RE1,DEMPWRWND,WND,2037,0
RE1,DEMPWRWND,WND,2038,0
RE1,DEMPWRWND,WND,2039,0
RE1,DEMPWRWND,WND,2040,0
RE1,DEMPWRWND,WND,2041,0
RE1,DEMPWRWND,WND,2042,0
RE1,DEMPWRWND,WND,2043,0
RE1,DEMPWRWND,WND,2044,0
RE1,DEMPWRWND,WND,2045,0
RE1,DEMPWRWND,WND,2046,0
RE1,DEMPWRWND,WND,2047,0
RE1,DEMPWRWND,WND,2048,0
RE1,DEMPWRWND,WND,2049,0
RE1,DEMPWRWND,WND,2050,0
RE1,DEMRESELCB02,ELCB02,2017,0
RE1,DEMRESELCB02,ELCB02,2018,0
RE1,DEMRESELCB02,ELCB02,2019,0
RE1,DEMRESELCB02,ELCB02,2020,0
RE1,DEMRESELCB02,ELCB02,2021,0
RE1,DEMRESELCB02,ELCB02,2022,0
RE1,DEMRESELCB02,ELCB02,2023,0
RE1,DEMRESELCB02,ELCB02,2024,0
RE1,DEMRESELCB02,ELCB02,2025,0
RE1,DEMRESELCB02,ELCB02,2026,0
RE1,DEMRESELCB02,ELCB02,2027,0
RE1,DEMRESELCB02,ELCB02,2028,0
RE1,DEMRESELCB02,ELCB02,2029,0
RE1,DEMRESELCB02,ELCB02,2030,0
RE1,DEMRESELCB02,ELCB02,2031,0
RE1,DEMRESELCB02,ELCB02,2032,0
RE1,DEMRESELCB02,ELCB02,2033,0
RE1,DEMRESELCB02,ELCB02,2034,0
RE1,DEMRESELCB02,ELCB02,2035,0
RE1,DEMRESELCB02,ELCB02,2036,0
RE1,DEMRESELCB02,ELCB02,2037,0
RE1,DEMRESELCB02,ELCB02,2038,0
RE1,DEMRESELCB02,ELCB02,2039,0
RE1,DEMRESELCB02,ELCB02,2040,0
RE1,DEMRESELCB02,ELCB02,2041,0
RE1,DEMRESELCB02,ELCB02,2042,0
RE1,DEMRESELCB02,ELCB02,2043,0
RE1,DEMRESELCB02,ELCB02,2044,0
RE1,DEMRESELCB02,ELCB02,2045,0
RE1,DEMRESELCB02,ELCB02,2046,0
RE1,DEMRESELCB02,ELCB02,2047,0
RE1,DEMRESELCB02,ELCB02,2048,0
RE1,DEMRESELCB02,ELCB02,2049,0
RE1,DEMRESELCB02,ELCB02,2050,0
RE1,DEMRESELCC02,ELCC02,2017,0
RE1,DEMRESELCC02,ELCC02,2018,0
RE1,DEMRESELCC02,ELCC02,2019,0
RE1,DEMRESELCC02,ELCC02,2020,0
RE1,DEMRESELCC02,ELCC02,2021,0
RE1,DEMRESELCC02,ELCC02,2022,0
RE1,DEMRESELCC02,ELCC02,2023,0
RE1,DEMRESELCC02,ELCC02,2024,0
RE1,DEMRESELCC02,ELCC02,2025,0
RE1,DEMRESELCC02,ELCC02,2026,0
RE1,DEMRESELCC02,ELCC02,2027,0
RE1,DEMRESELCC02,ELCC02,2028,0
RE1,DEMRESELCC02,ELCC02,2029,0
RE1,DEMRESELCC02,ELCC02,2030,0
RE1,DEMRESELCC02,ELCC02,2031,0
RE1,DEMRESELCC02,ELCC02,2032,0
RE1,DEMRESELCC02,ELCC02,2033,0
RE1,DEMRESELCC02,ELCC02,2034,0
RE1,DEMRESELCC02,ELCC02,2035,0
RE1,DEMRESELCC02,ELCC02,2036,0
RE1,DEMRESELCC02,ELCC02,2037,0
RE1,DEMRESELCC02,ELCC02,2038,0
RE1,DEMRESELCC02,ELCC02,2039,0
RE1,DEMRESELCC02,ELCC02,2040,0
RE1,DEMRESELCC02,ELCC02,2041,0
RE1,DEMRESELCC02,ELCC02,2042,0
RE1,DEMRESELCC02,ELCC02,2043,0
RE1,DEMRESELCC02,ELCC02,2044,0
RE1,DEMRESELCC02,ELCC02,2045,0
RE1,DEMRESELCC02,ELCC02,2046,0
RE1,DEMRESELCC02,ELCC02,2047,0
RE1,DEMRESELCC02,ELCC02,2048,0
RE1,DEMRESELCC02,ELCC02,2049,0
RE1,DEMRESELCC02,ELCC02,2050,0
RE1,DEMRESELCD02,ELCD02,2017,0
RE1,DEMRESELCD02,ELCD02,2018,0
RE1,DEMRESELCD02,ELCD02,2019,0
RE1,DEMRESELCD02,ELCD02,2020,0
RE1,DEMRESELCD02,ELCD02,2021,0
RE1,DEMRESELCD02,ELCD02,2022,0
RE1,DEMRESELCD02,ELCD02,2023,0
RE1,DEMRESELCD02,ELCD02,2024,0
RE1,DEMRESELCD02,ELCD02,2025,0
RE1,DEMRESELCD02,ELCD02,2026,0
RE1,DEMRESELCD02,ELCD02,2027,0
RE1,DEMRESELCD02,ELCD02,2028,0
RE1,DEMRESELCD02,ELCD02,2029,0
RE1,DEMRESELCD02,ELCD02,2030,0
RE1,DEMRESELCD02,ELCD02,2031,0
RE1,DEMRESELCD02,ELCD02,2032,0
RE1,DEMRESELCD02,ELCD02,2033,0
RE1,DEMRESELCD02,ELCD02,2034,0
RE1,DEMRESELCD02,ELCD02,2035,0
RE1,DEMRESELCD02,ELCD02,2036,0
RE1,DEMRESELCD02,ELCD02,2037,0
RE1,DEMRESELCD02,ELCD02,2038,0
RE1,DEMRESELCD02,ELCD02,2039,0
RE1,DEMRESELCD02,ELCD02,2040,0
RE1,DEMRESELCD02,ELCD02,2041,0
RE1,DEMRESELCD02,ELCD02,2042,0
RE1,DEMRESELCD02,ELCD02,2043,0
RE1,DEMRESELCD02,ELCD02,2044,0
RE1,DEMRESELCD02,ELCD02,2045,0
RE1,DEMRESELCD02,ELCD02,2046,0
RE1,DEMRESELCD02,ELCD02,2047,0
RE1,DEMRESELCD02,ELCD02,2048,0
RE1,DEMRESELCD02,ELCD02,2049,0
RE1,DEMRESELCD02,ELCD02,2050,0
RE1,DEMRESELCE02,ELCE02,2017,0
RE1,DEMRESELCE02,ELCE02,2018,0
RE1,DEMRESELCE02,ELCE02,2019,0
RE1,DEMRESELCE02,ELCE02,2020,0
RE1,DEMRESELCE02,ELCE02,2021,0
RE1,DEMRESELCE02,ELCE02,2022,0
RE1,DEMRESELCE02,ELCE02,2023,0
RE1,DEMRESELCE02,ELCE02,2024,0
RE1,DEMRESELCE02,ELCE02,2025,0
RE1,DEMRESELCE02,ELCE02,2026,0
RE1,DEMRESELCE02,ELCE02,2027,0
RE1,DEMRESELCE02,ELCE02,2028,0
RE1,DEMRESELCE02,ELCE02,2029,0
RE1,DEMRESELCE02,ELCE02,2030,0
RE1,DEMRESELCE02,ELCE02,2031,0
RE1,DEMRESELCE02,ELCE02,2032,0
RE1,DEMRESELCE02,ELCE02,2033,0
RE1,DEMRESELCE02,ELCE02,2034,0
RE1,DEMRESELCE02,ELCE02,2035,0
RE1,DEMRESELCE02,ELCE02,2036,0
RE1,DEMRESELCE02,ELCE02,2037,0
RE1,DEMRESELCE02,ELCE02,2038,0
RE1,DEMRESELCE02,ELCE02,2039,0
RE1,DEMRESELCE02,ELCE02,2040,0
RE1,DEMRESELCE02,ELCE02,2041,0
RE1,DEMRESELCE02,ELCE02,2042,0
RE1,DEMRESELCE02,ELCE02,2043,0
RE1,DEMRESELCE02,ELCE02,2044,0
RE1,DEMRESELCE02,ELCE02,2045,0
RE1,DEMRESELCE02,ELCE02,2046,0
RE1,DEMRESELCE02,ELCE02,2047,0
RE1,DEMRESELCE02,ELCE02,2048,0
RE1,DEMRESELCE02,ELCE02,2049,0
RE1,DEMRESELCE02,ELCE02,2050,0
RE1,DEMRESELCF02,ELCF02,2017,0
RE1,DEMRESELCF02,ELCF02,2018,0
RE1,DEMRESELCF02,ELCF02,2019,0
RE1,DEMRESELCF02,ELCF02,2020,0
RE1,DEMRESELCF02,ELCF02,2021,0
RE1,DEMRESELCF02,ELCF02,2022,0
RE1,DEMRESELCF02,ELCF02,2023,0
RE1,DEMRESELCF02,ELCF02,2024,0
RE1,DEMRESELCF02,ELCF02,2025,0
RE1,DEMRESELCF02,ELCF02,2026,0
RE1,DEMRESELCF02,ELCF02,2027,0
RE1,DEMRESELCF02,ELCF02,2028,0
RE1,DEMRESELCF02,ELCF02,2029,0
RE1,DEMRESELCF02,ELCF02,2030,0
RE1,DEMRESELCF02,ELCF02,2031,0
RE1,DEMRESELCF02,ELCF02,2032,0
RE1,DEMRESELCF02,ELCF02,2033,0
RE1,DEMRESELCF02,ELCF02,2034,0
RE1,DEMRESELCF02,ELCF02,2035,0
RE1,DEMRESELCF02,ELCF02,2036,0
RE1,DEMRESELCF02,ELCF02,2037,0
RE1,DEMRESELCF02,ELCF02,2038,0
