r,l,t,f,y,RateOfProductionByTechnology
"RE1","S11","Manuel","GAS",2030,0
"RE1","S11","Manuel","GAS",2031,0
"RE1","S11","Manuel","GAS",2032,0
"RE1","S11","Manuel","GAS",2033,0
"RE1","S11","Manuel","GAS",2034,0
"RE1","S11","Manuel","GAS",2035,0
"RE1","S11","Manuel","GAS",2036,0
"RE1","S11","Manuel","GAS",2037,0
"RE1","S11","Manuel","GAS",2038,0
"RE1","S11","Manuel","GAS",2039,0
"RE1","S11","Manuel","GAS",2040,0
"RE1","S11","Manuel","ELC001",2020,0
"RE1","S11","Manuel","ELC001",2021,0
"RE1","S11","Manuel","ELC001",2022,0
"RE1","S11","Manuel","ELC001",2023,0
"RE1","S11","Manuel","ELC001",2024,0
"RE1","S11","Manuel","ELC001",2025,0
"RE1","S11","Manuel","ELC001",2026,0
"RE1","S11","Manuel","ELC001",2027,0
"RE1","S11","Manuel","ELC001",2028,0
"RE1","S11","Manuel","ELC001",2029,0
"RE1","S11","Manuel","ELC001",2030,0
"RE1","S11","Manuel","ELC001",2031,0
"RE1","S11","Manuel","ELC001",2032,0
"RE1","S11","Manuel","ELC001",2033,0
"RE1","S11","Manuel","ELC001",2034,0
"RE1","S11","Manuel","ELC001",2035,0
"RE1","S11","Manuel","ELC001",2036,0
"RE1","S11","Manuel","ELC001",2037,0
"RE1","S11","Manuel","ELC001",2038,0
"RE1","S11","Manuel","ELC001",2039,0
"RE1","S11","Manuel","ELC001",2040,0
"RE1","S11","Manuel","ELC002",2020,0
"RE1","S11","Manuel","ELC002",2021,0
"RE1","S11","Manuel","ELC002",2022,0
"RE1","S11","Manuel","ELC002",2023,0
"RE1","S11","Manuel","ELC002",2024,0
"RE1","S11","Manuel","ELC002",2025,0
"RE1","S11","Manuel","ELC002",2026,0
"RE1","S11","Manuel","ELC002",2027,0
"RE1","S11","Manuel","ELC002",2028,0
"RE1","S11","Manuel","ELC002",2029,0
"RE1","S11","Manuel","ELC002",2030,0
"RE1","S11","Manuel","ELC002",2031,0
"RE1","S11","Manuel","ELC002",2032,0
"RE1","S11","Manuel","ELC002",2033,0
"RE1","S11","Manuel","ELC002",2034,0
"RE1","S11","Manuel","ELC002",2035,0
"RE1","S11","Manuel","ELC002",2036,0
"RE1","S11","Manuel","ELC002",2037,0
"RE1","S11","Manuel","ELC002",2038,0
"RE1","S11","Manuel","ELC002",2039,0
"RE1","S11","Manuel","ELC002",2040,0
"RE1","S11","Manuel","SOL",2020,0
"RE1","S11","Manuel","SOL",2021,0
"RE1","S11","Manuel","SOL",2022,0
"RE1","S11","Manuel","SOL",2023,0
"RE1","S11","Manuel","SOL",2024,0
"RE1","S11","Manuel","SOL",2025,0
"RE1","S11","Manuel","SOL",2026,0
"RE1","S11","Manuel","SOL",2027,0
"RE1","S11","Manuel","SOL",2028,0
"RE1","S11","Manuel","SOL",2029,0
"RE1","S11","Manuel","SOL",2030,0
"RE1","S11","Manuel","SOL",2031,0
"RE1","S11","Manuel","SOL",2032,0
"RE1","S11","Manuel","SOL",2033,0
"RE1","S11","Manuel","SOL",2034,0
"RE1","S11","Manuel","SOL",2035,0
"RE1","S11","Manuel","SOL",2036,0
"RE1","S11","Manuel","SOL",2037,0
"RE1","S11","Manuel","SOL",2038,0
"RE1","S11","Manuel","SOL",2039,0
"RE1","S11","Manuel","SOL",2040,0
"RE1","S11","Manuel","WND",2020,0
"RE1","S11","Manuel","WND",2021,0
"RE1","S11","Manuel","WND",2022,0
"RE1","S11","Manuel","WND",2023,0
"RE1","S11","Manuel","WND",2024,0
"RE1","S11","Manuel","WND",2025,0
"RE1","S11","Manuel","WND",2026,0
"RE1","S11","Manuel","WND",2027,0
"RE1","S11","Manuel","WND",2028,0
"RE1","S11","Manuel","WND",2029,0
"RE1","S11","Manuel","WND",2030,0
"RE1","S11","Manuel","WND",2031,0
"RE1","S11","Manuel","WND",2032,0
"RE1","S11","Manuel","WND",2033,0
"RE1","S11","Manuel","WND",2034,0
"RE1","S11","Manuel","WND",2035,0
"RE1","S11","Manuel","WND",2036,0
"RE1","S11","Manuel","WND",2037,0
"RE1","S11","Manuel","WND",2038,0
"RE1","S11","Manuel","WND",2039,0
"RE1","S11","Manuel","WND",2040,0
"RE1","S11","Manuel","HYD",2020,0
"RE1","S11","Manuel","HYD",2021,0
"RE1","S11","Manuel","HYD",2022,0
"RE1","S11","Manuel","HYD",2023,0
"RE1","S11","Manuel","HYD",2024,0
"RE1","S11","Manuel","HYD",2025,0
"RE1","S11","Manuel","HYD",2026,0
"RE1","S11","Manuel","HYD",2027,0
"RE1","S11","Manuel","HYD",2028,0
"RE1","S11","Manuel","HYD",2029,0
"RE1","S11","Manuel","HYD",2030,0
"RE1","S11","Manuel","HYD",2031,0
"RE1","S11","Manuel","HYD",2032,0
"RE1","S11","Manuel","HYD",2033,0
"RE1","S11","Manuel","HYD",2034,0
"RE1","S11","Manuel","HYD",2035,0
"RE1","S11","Manuel","HYD",2036,0
"RE1","S11","Manuel","HYD",2037,0
"RE1","S11","Manuel","HYD",2038,0
"RE1","S11","Manuel","HYD",2039,0
"RE1","S11","Manuel","HYD",2040,0
"RE1","S12","MINCOA","COA",2020,0
"RE1","S12","MINCOA","COA",2021,0
"RE1","S12","MINCOA","COA",2022,0
"RE1","S12","MINCOA","COA",2023,0
"RE1","S12","MINCOA","COA",2024,0
"RE1","S12","MINCOA","COA",2025,0
"RE1","S12","MINCOA","COA",2026,0
"RE1","S12","MINCOA","COA",2027,0
"RE1","S12","MINCOA","COA",2028,0
"RE1","S12","MINCOA","COA",2029,0
"RE1","S12","MINCOA","COA",2030,0
"RE1","S12","MINCOA","COA",2031,0
"RE1","S12","MINCOA","COA",2032,0
"RE1","S12","MINCOA","COA",2033,0
"RE1","S12","MINCOA","COA",2034,0
"RE1","S12","MINCOA","COA",2035,0
"RE1","S12","MINCOA","COA",2036,0
"RE1","S12","MINCOA","COA",2037,0
"RE1","S12","MINCOA","COA",2038,0
"RE1","S12","MINCOA","COA",2039,0
"RE1","S12","MINCOA","COA",2040,0
"RE1","S12","MINCOA","GAS",2020,0
"RE1","S12","MINCOA","GAS",2021,0
"RE1","S12","MINCOA","GAS",2022,0
"RE1","S12","MINCOA","GAS",2023,0
"RE1","S12","MINCOA","GAS",2024,0
"RE1","S12","MINCOA","GAS",2025,0
"RE1","S12","MINCOA","GAS",2026,0
"RE1","S12","MINCOA","GAS",2027,0
"RE1","S12","MINCOA","GAS",2028,0
"RE1","S12","MINCOA","GAS",2029,0
"RE1","S12","MINCOA","GAS",2030,0
"RE1","S12","MINCOA","GAS",2031,0
"RE1","S12","MINCOA","GAS",2032,0
"RE1","S12","MINCOA","GAS",2033,0
"RE1","S12","MINCOA","GAS",2034,0
"RE1","S12","MINCOA","GAS",2035,0
"RE1","S12","MINCOA","GAS",2036,0
"RE1","S12","MINCOA","GAS",2037,0
"RE1","S12","MINCOA","GAS",2038,0
"RE1","S12","MINCOA","GAS",2039,0
"RE1","S12","MINCOA","GAS",2040,0
"RE1","S12","MINCOA","ELC001",2020,0
"RE1","S12","MINCOA","ELC001",2021,0
"RE1","S12","MINCOA","ELC001",2022,0
"RE1","S12","MINCOA","ELC001",2023,0
"RE1","S12","MINCOA","ELC001",2024,0
"RE1","S12","MINCOA","ELC001",2025,0
"RE1","S12","MINCOA","ELC001",2026,0
"RE1","S12","MINCOA","ELC001",2027,0
"RE1","S12","MINCOA","ELC001",2028,0
"RE1","S12","MINCOA","ELC001",2029,0
"RE1","S12","MINCOA","ELC001",2030,0
"RE1","S12","MINCOA","ELC001",2031,0
"RE1","S12","MINCOA","ELC001",2032,0
"RE1","S12","MINCOA","ELC001",2033,0
"RE1","S12","MINCOA","ELC001",2034,0
"RE1","S12","MINCOA","ELC001",2035,0
"RE1","S12","MINCOA","ELC001",2036,0
"RE1","S12","MINCOA","ELC001",2037,0
"RE1","S12","MINCOA","ELC001",2038,0
"RE1","S12","MINCOA","ELC001",2039,0
"RE1","S12","MINCOA","ELC001",2040,0
"RE1","S12","MINCOA","ELC002",2020,0
"RE1","S12","MINCOA","ELC002",2021,0
"RE1","S12","MINCOA","ELC002",2022,0
"RE1","S12","MINCOA","ELC002",2023,0
"RE1","S12","MINCOA","ELC002",2024,0
"RE1","S12","MINCOA","ELC002",2025,0
"RE1","S12","MINCOA","ELC002",2026,0
"RE1","S12","MINCOA","ELC002",2027,0
"RE1","S12","MINCOA","ELC002",2028,0
"RE1","S12","MINCOA","ELC002",2029,0
"RE1","S12","MINCOA","ELC002",2030,0
"RE1","S12","MINCOA","ELC002",2031,0
"RE1","S12","MINCOA","ELC002",2032,0
"RE1","S12","MINCOA","ELC002",2033,0
"RE1","S12","MINCOA","ELC002",2034,0
"RE1","S12","MINCOA","ELC002",2035,0
"RE1","S12","MINCOA","ELC002",2036,0
"RE1","S12","MINCOA","ELC002",2037,0
"RE1","S12","MINCOA","ELC002",2038,0
"RE1","S12","MINCOA","ELC002",2039,0
"RE1","S12","MINCOA","ELC002",2040,0
"RE1","S12","MINCOA","SOL",2020,0
"RE1","S12","MINCOA","SOL",2021,0
"RE1","S12","MINCOA","SOL",2022,0
"RE1","S12","MINCOA","SOL",2023,0
"RE1","S12","MINCOA","SOL",2024,0
"RE1","S12","MINCOA","SOL",2025,0
"RE1","S12","MINCOA","SOL",2026,0
"RE1","S12","MINCOA","SOL",2027,0
"RE1","S12","MINCOA","SOL",2028,0
"RE1","S12","MINCOA","SOL",2029,0
"RE1","S12","MINCOA","SOL",2030,0
"RE1","S12","MINCOA","SOL",2031,0
"RE1","S12","MINCOA","SOL",2032,0
"RE1","S12","MINCOA","SOL",2033,0
"RE1","S12","MINCOA","SOL",2034,0
"RE1","S12","MINCOA","SOL",2035,0
"RE1","S12","MINCOA","SOL",2036,0
"RE1","S12","MINCOA","SOL",2037,0
"RE1","S12","MINCOA","SOL",2038,0
"RE1","S12","MINCOA","SOL",2039,0
"RE1","S12","MINCOA","SOL",2040,0
"RE1","S12","MINCOA","WND",2020,0
"RE1","S12","MINCOA","WND",2021,0
"RE1","S12","MINCOA","WND",2022,0
"RE1","S12","MINCOA","WND",2023,0
"RE1","S12","MINCOA","WND",2024,0
"RE1","S12","MINCOA","WND",2025,0
"RE1","S12","MINCOA","WND",2026,0
"RE1","S12","MINCOA","WND",2027,0
"RE1","S12","MINCOA","WND",2028,0
"RE1","S12","MINCOA","WND",2029,0
"RE1","S12","MINCOA","WND",2030,0
"RE1","S12","MINCOA","WND",2031,0
"RE1","S12","MINCOA","WND",2032,0
"RE1","S12","MINCOA","WND",2033,0
"RE1","S12","MINCOA","WND",2034,0
"RE1","S12","MINCOA","WND",2035,0
"RE1","S12","MINCOA","WND",2036,0
"RE1","S12","MINCOA","WND",2037,0
"RE1","S12","MINCOA","WND",2038,0
"RE1","S12","MINCOA","WND",2039,0
"RE1","S12","MINCOA","WND",2040,0
"RE1","S12","MINCOA","HYD",2020,0
"RE1","S12","MINCOA","HYD",2021,0
"RE1","S12","MINCOA","HYD",2022,0
"RE1","S12","MINCOA","HYD",2023,0
"RE1","S12","MINCOA","HYD",2024,0
"RE1","S12","MINCOA","HYD",2025,0
"RE1","S12","MINCOA","HYD",2026,0
"RE1","S12","MINCOA","HYD",2027,0
"RE1","S12","MINCOA","HYD",2028,0
"RE1","S12","MINCOA","HYD",2029,0
"RE1","S12","MINCOA","HYD",2030,0
"RE1","S12","MINCOA","HYD",2031,0
"RE1","S12","MINCOA","HYD",2032,0
"RE1","S12","MINCOA","HYD",2033,0
"RE1","S12","MINCOA","HYD",2034,0
"RE1","S12","MINCOA","HYD",2035,0
"RE1","S12","MINCOA","HYD",2036,0
"RE1","S12","MINCOA","HYD",2037,0
"RE1","S12","MINCOA","HYD",2038,0
"RE1","S12","MINCOA","HYD",2039,0
"RE1","S12","MINCOA","HYD",2040,0
"RE1","S12","MINGAS","COA",2020,0
"RE1","S12","MINGAS","COA",2021,0
"RE1","S12","MINGAS","COA",2022,0
"RE1","S12","MINGAS","COA",2023,0
"RE1","S12","MINGAS","COA",2024,0
"RE1","S12","MINGAS","COA",2025,0
"RE1","S12","MINGAS","COA",2026,0
"RE1","S12","MINGAS","COA",2027,0
"RE1","S12","MINGAS","COA",2028,0
"RE1","S12","MINGAS","COA",2029,0
"RE1","S12","MINGAS","COA",2030,0
"RE1","S12","MINGAS","COA",2031,0
"RE1","S12","MINGAS","COA",2032,0
"RE1","S12","MINGAS","COA",2033,0
"RE1","S12","MINGAS","COA",2034,0
"RE1","S12","MINGAS","COA",2035,0
"RE1","S12","MINGAS","COA",2036,0
"RE1","S12","MINGAS","COA",2037,0
"RE1","S12","MINGAS","COA",2038,0
"RE1","S12","MINGAS","COA",2039,0
"RE1","S12","MINGAS","COA",2040,0
"RE1","S12","MINGAS","GAS",2020,0
"RE1","S12","MINGAS","GAS",2021,0
"RE1","S12","MINGAS","GAS",2022,0
"RE1","S12","MINGAS","GAS",2023,0
"RE1","S12","MINGAS","GAS",2024,0
"RE1","S12","MINGAS","GAS",2025,0
"RE1","S12","MINGAS","GAS",2026,0
"RE1","S12","MINGAS","GAS",2027,0
"RE1","S12","MINGAS","GAS",2028,0
"RE1","S12","MINGAS","GAS",2029,0
"RE1","S12","MINGAS","GAS",2030,0
"RE1","S12","MINGAS","GAS",2031,0
"RE1","S12","MINGAS","GAS",2032,0
"RE1","S12","MINGAS","GAS",2033,0
"RE1","S12","MINGAS","GAS",2034,0
"RE1","S12","MINGAS","GAS",2035,0
"RE1","S12","MINGAS","GAS",2036,0
"RE1","S12","MINGAS","GAS",2037,0
"RE1","S12","MINGAS","GAS",2038,0
"RE1","S12","MINGAS","GAS",2039,0
"RE1","S12","MINGAS","GAS",2040,0
"RE1","S12","MINGAS","ELC001",2020,0
"RE1","S12","MINGAS","ELC001",2021,0
"RE1","S12","MINGAS","ELC001",2022,0
"RE1","S12","MINGAS","ELC001",2023,0
"RE1","S12","MINGAS","ELC001",2024,0
"RE1","S12","MINGAS","ELC001",2025,0
"RE1","S12","MINGAS","ELC001",2026,0
"RE1","S12","MINGAS","ELC001",2027,0
"RE1","S12","MINGAS","ELC001",2028,0
"RE1","S12","MINGAS","ELC001",2029,0
"RE1","S12","MINGAS","ELC001",2030,0
"RE1","S12","MINGAS","ELC001",2031,0
"RE1","S12","MINGAS","ELC001",2032,0
"RE1","S12","MINGAS","ELC001",2033,0
"RE1","S12","MINGAS","ELC001",2034,0
"RE1","S12","MINGAS","ELC001",2035,0
"RE1","S12","MINGAS","ELC001",2036,0
"RE1","S12","MINGAS","ELC001",2037,0
"RE1","S12","MINGAS","ELC001",2038,0
"RE1","S12","MINGAS","ELC001",2039,0
"RE1","S12","MINGAS","ELC001",2040,0
"RE1","S12","MINGAS","ELC002",2020,0
"RE1","S12","MINGAS","ELC002",2021,0
"RE1","S12","MINGAS","ELC002",2022,0
"RE1","S12","MINGAS","ELC002",2023,0
"RE1","S12","MINGAS","ELC002",2024,0
"RE1","S12","MINGAS","ELC002",2025,0
"RE1","S12","MINGAS","ELC002",2026,0
"RE1","S12","MINGAS","ELC002",2027,0
"RE1","S12","MINGAS","ELC002",2028,0
"RE1","S12","MINGAS","ELC002",2029,0
"RE1","S12","MINGAS","ELC002",2030,0
"RE1","S12","MINGAS","ELC002",2031,0
"RE1","S12","MINGAS","ELC002",2032,0
"RE1","S12","MINGAS","ELC002",2033,0
"RE1","S12","MINGAS","ELC002",2034,0
"RE1","S12","MINGAS","ELC002",2035,0
"RE1","S12","MINGAS","ELC002",2036,0
"RE1","S12","MINGAS","ELC002",2037,0
"RE1","S12","MINGAS","ELC002",2038,0
"RE1","S12","MINGAS","ELC002",2039,0
"RE1","S12","MINGAS","ELC002",2040,0
"RE1","S12","MINGAS","SOL",2020,0
"RE1","S12","MINGAS","SOL",2021,0
"RE1","S12","MINGAS","SOL",2022,0
"RE1","S12","MINGAS","SOL",2023,0
"RE1","S12","MINGAS","SOL",2024,0
"RE1","S12","MINGAS","SOL",2025,0
"RE1","S12","MINGAS","SOL",2026,0
"RE1","S12","MINGAS","SOL",2027,0
"RE1","S12","MINGAS","SOL",2028,0
"RE1","S12","MINGAS","SOL",2029,0
"RE1","S12","MINGAS","SOL",2030,0
"RE1","S12","MINGAS","SOL",2031,0
"RE1","S12","MINGAS","SOL",2032,0
"RE1","S12","MINGAS","SOL",2033,0
"RE1","S12","MINGAS","SOL",2034,0
"RE1","S12","MINGAS","SOL",2035,0
"RE1","S12","MINGAS","SOL",2036,0
"RE1","S12","MINGAS","SOL",2037,0
"RE1","S12","MINGAS","SOL",2038,0
"RE1","S12","MINGAS","SOL",2039,0
"RE1","S12","MINGAS","SOL",2040,0
"RE1","S12","MINGAS","WND",2020,0
"RE1","S12","MINGAS","WND",2021,0
"RE1","S12","MINGAS","WND",2022,0
"RE1","S12","MINGAS","WND",2023,0
"RE1","S12","MINGAS","WND",2024,0
"RE1","S12","MINGAS","WND",2025,0
"RE1","S12","MINGAS","WND",2026,0
"RE1","S12","MINGAS","WND",2027,0
"RE1","S12","MINGAS","WND",2028,0
"RE1","S12","MINGAS","WND",2029,0
"RE1","S12","MINGAS","WND",2030,0
"RE1","S12","MINGAS","WND",2031,0
"RE1","S12","MINGAS","WND",2032,0
"RE1","S12","MINGAS","WND",2033,0
"RE1","S12","MINGAS","WND",2034,0
"RE1","S12","MINGAS","WND",2035,0
"RE1","S12","MINGAS","WND",2036,0
"RE1","S12","MINGAS","WND",2037,0
"RE1","S12","MINGAS","WND",2038,0
"RE1","S12","MINGAS","WND",2039,0
"RE1","S12","MINGAS","WND",2040,0
"RE1","S12","MINGAS","HYD",2020,0
"RE1","S12","MINGAS","HYD",2021,0
"RE1","S12","MINGAS","HYD",2022,0
"RE1","S12","MINGAS","HYD",2023,0
"RE1","S12","MINGAS","HYD",2024,0
"RE1","S12","MINGAS","HYD",2025,0
"RE1","S12","MINGAS","HYD",2026,0
"RE1","S12","MINGAS","HYD",2027,0
"RE1","S12","MINGAS","HYD",2028,0
"RE1","S12","MINGAS","HYD",2029,0
"RE1","S12","MINGAS","HYD",2030,0
"RE1","S12","MINGAS","HYD",2031,0
"RE1","S12","MINGAS","HYD",2032,0
"RE1","S12","MINGAS","HYD",2033,0
"RE1","S12","MINGAS","HYD",2034,0
"RE1","S12","MINGAS","HYD",2035,0
"RE1","S12","MINGAS","HYD",2036,0
"RE1","S12","MINGAS","HYD",2037,0
"RE1","S12","MINGAS","HYD",2038,0
"RE1","S12","MINGAS","HYD",2039,0
"RE1","S12","MINGAS","HYD",2040,0
"RE1","S12","PWRCOA","COA",2020,0
"RE1","S12","PWRCOA","COA",2021,0
"RE1","S12","PWRCOA","COA",2022,0
"RE1","S12","PWRCOA","COA",2023,0
"RE1","S12","PWRCOA","COA",2024,0
"RE1","S12","PWRCOA","COA",2025,0
"RE1","S12","PWRCOA","COA",2026,0
"RE1","S12","PWRCOA","COA",2027,0
"RE1","S12","PWRCOA","COA",2028,0
"RE1","S12","PWRCOA","COA",2029,0
"RE1","S12","PWRCOA","COA",2030,0
"RE1","S12","PWRCOA","COA",2031,0
"RE1","S12","PWRCOA","COA",2032,0
"RE1","S12","PWRCOA","COA",2033,0
"RE1","S12","PWRCOA","COA",2034,0
"RE1","S12","PWRCOA","COA",2035,0
"RE1","S12","PWRCOA","COA",2036,0
"RE1","S12","PWRCOA","COA",2037,0
"RE1","S12","PWRCOA","COA",2038,0
"RE1","S12","PWRCOA","COA",2039,0
"RE1","S12","PWRCOA","COA",2040,0
"RE1","S12","PWRCOA","GAS",2020,0
"RE1","S12","PWRCOA","GAS",2021,0
"RE1","S12","PWRCOA","GAS",2022,0
"RE1","S12","PWRCOA","GAS",2023,0
"RE1","S12","PWRCOA","GAS",2024,0
"RE1","S12","PWRCOA","GAS",2025,0
"RE1","S12","PWRCOA","GAS",2026,0
"RE1","S12","PWRCOA","GAS",2027,0
"RE1","S12","PWRCOA","GAS",2028,0
"RE1","S12","PWRCOA","GAS",2029,0
"RE1","S12","PWRCOA","GAS",2030,0
"RE1","S12","PWRCOA","GAS",2031,0
"RE1","S12","PWRCOA","GAS",2032,0
"RE1","S12","PWRCOA","GAS",2033,0
"RE1","S12","PWRCOA","GAS",2034,0
"RE1","S12","PWRCOA","GAS",2035,0
"RE1","S12","PWRCOA","GAS",2036,0
"RE1","S12","PWRCOA","GAS",2037,0
"RE1","S12","PWRCOA","GAS",2038,0
"RE1","S12","PWRCOA","GAS",2039,0
"RE1","S12","PWRCOA","GAS",2040,0
"RE1","S12","PWRCOA","ELC001",2020,0
"RE1","S12","PWRCOA","ELC001",2021,0
"RE1","S12","PWRCOA","ELC001",2022,0
"RE1","S12","PWRCOA","ELC001",2023,0
"RE1","S12","PWRCOA","ELC001",2024,0
"RE1","S12","PWRCOA","ELC001",2025,0
"RE1","S12","PWRCOA","ELC001",2026,0
"RE1","S12","PWRCOA","ELC001",2027,0
"RE1","S12","PWRCOA","ELC001",2028,0
"RE1","S12","PWRCOA","ELC001",2029,0
"RE1","S12","PWRCOA","ELC001",2030,0
"RE1","S12","PWRCOA","ELC001",2031,0
"RE1","S12","PWRCOA","ELC001",2032,0
"RE1","S12","PWRCOA","ELC001",2033,0
"RE1","S12","PWRCOA","ELC001",2034,0
"RE1","S12","PWRCOA","ELC001",2035,0
"RE1","S12","PWRCOA","ELC001",2036,0
"RE1","S12","PWRCOA","ELC001",2037,0
"RE1","S12","PWRCOA","ELC001",2038,0
"RE1","S12","PWRCOA","ELC001",2039,0
"RE1","S12","PWRCOA","ELC001",2040,0
"RE1","S12","PWRCOA","ELC002",2020,0
"RE1","S12","PWRCOA","ELC002",2021,0
"RE1","S12","PWRCOA","ELC002",2022,0
"RE1","S12","PWRCOA","ELC002",2023,0
"RE1","S12","PWRCOA","ELC002",2024,0
"RE1","S12","PWRCOA","ELC002",2025,0
"RE1","S12","PWRCOA","ELC002",2026,0
"RE1","S12","PWRCOA","ELC002",2027,0
"RE1","S12","PWRCOA","ELC002",2028,0
"RE1","S12","PWRCOA","ELC002",2029,0
"RE1","S12","PWRCOA","ELC002",2030,0
"RE1","S12","PWRCOA","ELC002",2031,0
"RE1","S12","PWRCOA","ELC002",2032,0
"RE1","S12","PWRCOA","ELC002",2033,0
"RE1","S12","PWRCOA","ELC002",2034,0
"RE1","S12","PWRCOA","ELC002",2035,0
"RE1","S12","PWRCOA","ELC002",2036,0
"RE1","S12","PWRCOA","ELC002",2037,0
"RE1","S12","PWRCOA","ELC002",2038,0
"RE1","S12","PWRCOA","ELC002",2039,0
"RE1","S12","PWRCOA","ELC002",2040,0
"RE1","S12","PWRCOA","SOL",2020,0
"RE1","S12","PWRCOA","SOL",2021,0
"RE1","S12","PWRCOA","SOL",2022,0
"RE1","S12","PWRCOA","SOL",2023,0
"RE1","S12","PWRCOA","SOL",2024,0
"RE1","S12","PWRCOA","SOL",2025,0
"RE1","S12","PWRCOA","SOL",2026,0
"RE1","S12","PWRCOA","SOL",2027,0
"RE1","S12","PWRCOA","SOL",2028,0
"RE1","S12","PWRCOA","SOL",2029,0
"RE1","S12","PWRCOA","SOL",2030,0
"RE1","S12","PWRCOA","SOL",2031,0
"RE1","S12","PWRCOA","SOL",2032,0
"RE1","S12","PWRCOA","SOL",2033,0
"RE1","S12","PWRCOA","SOL",2034,0
"RE1","S12","PWRCOA","SOL",2035,0
"RE1","S12","PWRCOA","SOL",2036,0
"RE1","S12","PWRCOA","SOL",2037,0
"RE1","S12","PWRCOA","SOL",2038,0
"RE1","S12","PWRCOA","SOL",2039,0
"RE1","S12","PWRCOA","SOL",2040,0
"RE1","S12","PWRCOA","WND",2020,0
"RE1","S12","PWRCOA","WND",2021,0
"RE1","S12","PWRCOA","WND",2022,0
"RE1","S12","PWRCOA","WND",2023,0
"RE1","S12","PWRCOA","WND",2024,0
"RE1","S12","PWRCOA","WND",2025,0
"RE1","S12","PWRCOA","WND",2026,0
"RE1","S12","PWRCOA","WND",2027,0
"RE1","S12","PWRCOA","WND",2028,0
"RE1","S12","PWRCOA","WND",2029,0
"RE1","S12","PWRCOA","WND",2030,0
"RE1","S12","PWRCOA","WND",2031,0
"RE1","S12","PWRCOA","WND",2032,0
"RE1","S12","PWRCOA","WND",2033,0
"RE1","S12","PWRCOA","WND",2034,0
"RE1","S12","PWRCOA","WND",2035,0
"RE1","S12","PWRCOA","WND",2036,0
"RE1","S12","PWRCOA","WND",2037,0
"RE1","S12","PWRCOA","WND",2038,0
"RE1","S12","PWRCOA","WND",2039,0
"RE1","S12","PWRCOA","WND",2040,0
"RE1","S12","PWRCOA","HYD",2020,0
"RE1","S12","PWRCOA","HYD",2021,0
"RE1","S12","PWRCOA","HYD",2022,0
"RE1","S12","PWRCOA","HYD",2023,0
"RE1","S12","PWRCOA","HYD",2024,0
"RE1","S12","PWRCOA","HYD",2025,0
"RE1","S12","PWRCOA","HYD",2026,0
"RE1","S12","PWRCOA","HYD",2027,0
"RE1","S12","PWRCOA","HYD",2028,0
"RE1","S12","PWRCOA","HYD",2029,0
"RE1","S12","PWRCOA","HYD",2030,0
"RE1","S12","PWRCOA","HYD",2031,0
"RE1","S12","PWRCOA","HYD",2032,0
"RE1","S12","PWRCOA","HYD",2033,0
"RE1","S12","PWRCOA","HYD",2034,0
"RE1","S12","PWRCOA","HYD",2035,0
"RE1","S12","PWRCOA","HYD",2036,0
"RE1","S12","PWRCOA","HYD",2037,0
"RE1","S12","PWRCOA","HYD",2038,0
"RE1","S12","PWRCOA","HYD",2039,0
"RE1","S12","PWRCOA","HYD",2040,0
"RE1","S12","PWRGAS","COA",2020,0
"RE1","S12","PWRGAS","COA",2021,0
"RE1","S12","PWRGAS","COA",2022,0
"RE1","S12","PWRGAS","COA",2023,0
"RE1","S12","PWRGAS","COA",2024,0
"RE1","S12","PWRGAS","COA",2025,0
"RE1","S12","PWRGAS","COA",2026,0
"RE1","S12","PWRGAS","COA",2027,0
"RE1","S12","PWRGAS","COA",2028,0
"RE1","S12","PWRGAS","COA",2029,0
"RE1","S12","PWRGAS","COA",2030,0
"RE1","S12","PWRGAS","COA",2031,0
"RE1","S12","PWRGAS","COA",2032,0
"RE1","S12","PWRGAS","COA",2033,0
"RE1","S12","PWRGAS","COA",2034,0
"RE1","S12","PWRGAS","COA",2035,0
"RE1","S12","PWRGAS","COA",2036,0
"RE1","S12","PWRGAS","COA",2037,0
"RE1","S12","PWRGAS","COA",2038,0
"RE1","S12","PWRGAS","COA",2039,0
"RE1","S12","PWRGAS","COA",2040,0
"RE1","S12","PWRGAS","GAS",2020,0
"RE1","S12","PWRGAS","GAS",2021,0
"RE1","S12","PWRGAS","GAS",2022,0
"RE1","S12","PWRGAS","GAS",2023,0
"RE1","S12","PWRGAS","GAS",2024,0
"RE1","S12","PWRGAS","GAS",2025,0
"RE1","S12","PWRGAS","GAS",2026,0
"RE1","S12","PWRGAS","GAS",2027,0
"RE1","S12","PWRGAS","GAS",2028,0
"RE1","S12","PWRGAS","GAS",2029,0
"RE1","S12","PWRGAS","GAS",2030,0
"RE1","S12","PWRGAS","GAS",2031,0
"RE1","S12","PWRGAS","GAS",2032,0
"RE1","S12","PWRGAS","GAS",2033,0
"RE1","S12","PWRGAS","GAS",2034,0
"RE1","S12","PWRGAS","GAS",2035,0
"RE1","S12","PWRGAS","GAS",2036,0
"RE1","S12","PWRGAS","GAS",2037,0
"RE1","S12","PWRGAS","GAS",2038,0
"RE1","S12","PWRGAS","GAS",2039,0
"RE1","S12","PWRGAS","GAS",2040,0
"RE1","S12","PWRGAS","ELC001",2020,0
"RE1","S12","PWRGAS","ELC001",2021,0
"RE1","S12","PWRGAS","ELC001",2022,0
"RE1","S12","PWRGAS","ELC001",2023,0
"RE1","S12","PWRGAS","ELC001",2024,0
