r,l,t,m,y,RateOfActivity
"RE1","S11","PWRTRN",1,2039,97.2867663094919
"RE1","S11","PWRTRN",1,2040,100.205369321524
"RE1","S11","MINSOL",1,2020,17.2459893048129
"RE1","S11","MINSOL",1,2021,17.7633689839572
"RE1","S11","MINSOL",1,2022,18.2962700534759
"RE1","S11","MINSOL",1,2023,18.8451581550802
"RE1","S11","MINSOL",1,2024,19.4105128997327
"RE1","S11","MINSOL",1,2025,19.9928282815508
"RE1","S11","MINSOL",1,2026,20.5926131434492
"RE1","S11","MINSOL",1,2027,21.2103915220589
"RE1","S11","MINSOL",1,2028,21.8467032685829
"RE1","S11","MINSOL",1,2029,22.5021043764706
"RE1","S11","MINSOL",1,2030,23.1771674987968
"RE1","S11","MINSOL",1,2031,23.8724825346257
"RE1","S11","MINSOL",1,2032,24.5886570084225
"RE1","S11","MINSOL",1,2033,25.3263167081551
"RE1","S11","MINSOL",1,2034,26.0861062199198
"RE1","S11","MINSOL",1,2035,26.868689410829
"RE1","S11","MINSOL",1,2036,27.6747500843583
"RE1","S11","MINSOL",1,2037,28.5049925839573
"RE1","S11","MINSOL",1,2038,29.3601423621659
"RE1","S11","MINSOL",1,2039,30.2409466359626
"RE1","S11","MINSOL",1,2040,31.1481750421123
"RE1","S11","MINWND",1,2020,0
"RE1","S11","MINWND",1,2021,0
"RE1","S11","MINWND",1,2022,0
"RE1","S11","MINWND",1,2023,0
"RE1","S11","MINWND",1,2024,0
"RE1","S11","MINWND",1,2025,0
"RE1","S11","MINWND",1,2026,0
"RE1","S11","MINWND",1,2027,0
"RE1","S11","MINWND",1,2028,0
"RE1","S11","MINWND",1,2029,0
"RE1","S11","MINWND",1,2030,0
"RE1","S11","MINWND",1,2031,0
"RE1","S11","MINWND",1,2032,0
"RE1","S11","MINWND",1,2033,0
"RE1","S11","MINWND",1,2034,0
"RE1","S11","MINWND",1,2035,0
"RE1","S11","MINWND",1,2036,0
"RE1","S11","MINWND",1,2037,0
"RE1","S11","MINWND",1,2038,0
"RE1","S11","MINWND",1,2039,0
"RE1","S11","MINWND",1,2040,0
"RE1","S11","PWRSOL",1,2020,17.2459893048129
"RE1","S11","PWRSOL",1,2021,17.7633689839572
"RE1","S11","PWRSOL",1,2022,18.2962700534759
"RE1","S11","PWRSOL",1,2023,18.8451581550802
"RE1","S11","PWRSOL",1,2024,19.4105128997327
"RE1","S11","PWRSOL",1,2025,19.9928282815508
"RE1","S11","PWRSOL",1,2026,20.5926131434492
"RE1","S11","PWRSOL",1,2027,21.2103915220589
"RE1","S11","PWRSOL",1,2028,21.8467032685829
"RE1","S11","PWRSOL",1,2029,22.5021043764706
"RE1","S11","PWRSOL",1,2030,23.1771674987968
"RE1","S11","PWRSOL",1,2031,23.8724825346257
"RE1","S11","PWRSOL",1,2032,24.5886570084225
"RE1","S11","PWRSOL",1,2033,25.3263167081551
"RE1","S11","PWRSOL",1,2034,26.0861062199198
"RE1","S11","PWRSOL",1,2035,26.868689410829
"RE1","S11","PWRSOL",1,2036,27.6747500843583
"RE1","S11","PWRSOL",1,2037,28.5049925839573
"RE1","S11","PWRSOL",1,2038,29.3601423621659
"RE1","S11","PWRSOL",1,2039,30.2409466359626
"RE1","S11","PWRSOL",1,2040,31.1481750421123
"RE1","S11","PWRWND",1,2020,0
"RE1","S11","PWRWND",1,2021,0
