r,t,e,y,AnnualTechnologyEmission
RE1,MINGAS,CO2EQ,2034,45.0793
RE1,MINGAS,CO2EQ,2035,48.8877
RE1,MINGAS,CO2,2020,2.2205
RE1,MINGAS,CO2,2021,3.7848
RE1,MINGAS,CO2,2022,5.778
RE1,MINGAS,CO2,2023,7.8501
RE1,MINGAS,CO2,2024,9.9648
RE1,MINGAS,CO2,2025,12.1668
RE1,MINGAS,CO2,2026,14.6071
RE1,MINGAS,CO2,2027,17.1009
RE1,MINGAS,CO2,2028,19.6923
RE1,MINGAS,CO2,2029,22.568
RE1,MINGAS,CO2,2030,31.5375
RE1,MINGAS,CO2,2031,34.5863
RE1,MINGAS,CO2,2032,37.8868
RE1,MINGAS,CO2,2033,41.3011
RE1,MINGAS,CO2,2034,44.9991
RE1,MINGAS,CO2,2035,48.8007
RE1,LNDMAIRNF,CO2EQ,2020,0.4182
RE1,LNDMAIRNF,CO2EQ,2021,0.3764
RE1,LNDMAIRNF,CO2EQ,2022,0.3346
RE1,LNDMAIRNF,CO2EQ,2023,0.2927
RE1,LNDMAIRNF,CO2EQ,2024,0.2509
RE1,LNDMAIRNF,CO2EQ,2025,0.2091
RE1,LNDMAIRNF,CO2EQ,2026,0.1673
RE1,LNDMAIRNF,CO2EQ,2027,0.1255
RE1,LNDMAIRNF,CO2EQ,2028,0.0836
RE1,LNDMAIRNF,CO2EQ,2029,0.0418
RE1,LNDMAIRNF,N2O,2020,0.0008
RE1,LNDMAIRNF,N2O,2021,0.0007
RE1,LNDMAIRNF,N2O,2022,0.0007
RE1,LNDMAIRNF,N2O,2023,0.0006
RE1,LNDMAIRNF,N2O,2024,0.0005
RE1,LNDMAIRNF,N2O,2025,0.0004
RE1,LNDMAIRNF,N2O,2026,0.0003
RE1,LNDMAIRNF,N2O,2027,0.0002
RE1,LNDMAIRNF,N2O,2028,0.0002
RE1,LNDMAIRNF,N2O,2029,0.0001
RE1,LNDRICRNF,CO2EQ,2020,0.2258
RE1,LNDRICRNF,CO2EQ,2021,0.2082
RE1,LNDRICRNF,CO2EQ,2022,0.1849
RE1,LNDRICRNF,CO2EQ,2023,0.1618
RE1,LNDRICRNF,CO2EQ,2024,0.1388
RE1,LNDRICRNF,CO2EQ,2025,0.1155
RE1,LNDRICRNF,CO2EQ,2026,0.0925
RE1,LNDRICRNF,CO2EQ,2027,0.0694
RE1,LNDRICRNF,CO2EQ,2028,0.0463
RE1,LNDRICRNF,CO2EQ,2029,0.0231
RE1,LNDRICRNF,CH4,2020,0.0083
RE1,LNDRICRNF,CH4,2021,0.0077
RE1,LNDRICRNF,CH4,2022,0.0068
RE1,LNDRICRNF,CH4,2023,0.006
RE1,LNDRICRNF,CH4,2024,0.0051
RE1,LNDRICRNF,CH4,2025,0.0043
RE1,LNDRICRNF,CH4,2026,0.0034
RE1,LNDRICRNF,CH4,2027,0.0026
RE1,LNDRICRNF,CH4,2028,0.0017
RE1,LNDRICRNF,CH4,2029,0.0009
RE1,LNDMAIIRR,CO2EQ,2020,0.0472
RE1,LNDMAIIRR,CO2EQ,2021,0.1026
RE1,LNDMAIIRR,CO2EQ,2022,0.1582
RE1,LNDMAIIRR,CO2EQ,2023,0.2135
RE1,LNDMAIIRR,CO2EQ,2024,0.2692
RE1,LNDMAIIRR,CO2EQ,2025,0.3281
RE1,LNDMAIIRR,CO2EQ,2026,0.3838
RE1,LNDMAIIRR,CO2EQ,2027,0.4397
RE1,LNDMAIIRR,CO2EQ,2028,0.499
RE1,LNDMAIIRR,CO2EQ,2029,0.5582
RE1,LNDMAIIRR,CO2EQ,2030,0.6178
RE1,LNDMAIIRR,CO2EQ,2031,0.635
RE1,LNDMAIIRR,CO2EQ,2032,0.6522
RE1,LNDMAIIRR,CO2EQ,2033,0.6694
RE1,LNDMAIIRR,CO2EQ,2034,0.6865
RE1,LNDMAIIRR,CO2EQ,2035,0.704
RE1,LNDMAIIRR,N2O,2020,0.0001
RE1,LNDMAIIRR,N2O,2021,0.0003
RE1,LNDMAIIRR,N2O,2022,0.0005
RE1,LNDMAIIRR,N2O,2023,0.0006
RE1,LNDMAIIRR,N2O,2024,0.0008
